"Step","non_det_DDQN_9_100k - win","non_det_DDQN_9_100k - win__MIN","non_det_DDQN_9_100k - win__MAX"
"2596","0","0","0"
"2601","0","0","0"
"2602","0","0","0"
"2618","0","0","0"
"2620","0","0","0"
"2622","0","0","0"
"2627","0","0","0"
"2631","0","0","0"
"2668","0","0","0"
"2671","0","0","0"
"2676","0","0","0"
"2692","0","0","0"
"2693","0","0","0"
"2707","0","0","0"
"2718","0","0","0"
"2741","0","0","0"
"2747","0","0","0"
"2762","0","0","0"
"2767","0","0","0"
"2772","0","0","0"
"2780","0","0","0"
"2783","0","0","0"
"2806","0","0","0"
"2832","0","0","0"
"2834","0","0","0"
"2870","0","0","0"
"2893","0","0","0"
"2901","0","0","0"
"2903","0","0","0"
"2938","0","0","0"
"2944","0","0","0"
"2954","0","0","0"
"2957","0","0","0"
"2990","0","0","0"
"2991","0","0","0"
"2999","0","0","0"
"3010","0","0","0"
"3032","0","0","0"
"3048","0","0","0"
"3051","0","0","0"
"3053","0","0","0"
"3085","0","0","0"
"3086","0","0","0"
"3087","0","0","0"
"3090","0","0","0"
"3097","0","0","0"
"3124","0","0","0"
"3130","0","0","0"
"3131","0","0","0"
"3142","0","0","0"
"3143","0","0","0"
"3147","0","0","0"
"3171","0","0","0"
"3173","0","0","0"
"3175","0","0","0"
"3192","0","0","0"
"3204","0","0","0"
"3208","0","0","0"
"3223","0","0","0"
"3225","0","0","0"
"3236","0","0","0"
"3242","0","0","0"
"3288","0","0","0"
"3294","0","0","0"
"3312","0","0","0"
"3320","0","0","0"
"3323","0","0","0"
"3324","0","0","0"
"3333","0","0","0"
"3339","0","0","0"
"3377","0","0","0"
"3385","0","0","0"
"3389","0","0","0"
"3408","0","0","0"
"3410","0","0","0"
"3447","0","0","0"
"3455","0","0","0"
"3460","0","0","0"
"3486","0","0","0"
"3503","0","0","0"
"3516","0","0","0"
"3523","0","0","0"
"3531","0","0","0"
"3536","0","0","0"
"3549","0","0","0"
"3553","0","0","0"
"3559","0","0","0"
"3567","0","0","0"
"3568","0","0","0"
"3575","0","0","0"
"3584","0","0","0"
"3589","0","0","0"
"3622","0","0","0"
"3631","0","0","0"
"3642","1","1","1"
"3646","0","0","0"
"3647","0","0","0"
"3657","0","0","0"
"3664","0","0","0"
"3666","0","0","0"
"3671","0","0","0"
"3693","0","0","0"
"3700","0","0","0"
"3703","0","0","0"
"3705","0","0","0"
"3733","0","0","0"
"3735","0","0","0"
"3740","0","0","0"
"3743","0","0","0"
"3746","0","0","0"
"3756","0","0","0"
"3758","0","0","0"
"3759","0","0","0"
"3771","0","0","0"
"3823","0","0","0"
"3849","0","0","0"
"3864","0","0","0"
"3877","0","0","0"
"3883","0","0","0"
"3893","0","0","0"
"3894","0","0","0"
"3902","0","0","0"
"3909","0","0","0"
"3912","0","0","0"
"3915","0","0","0"
"3942","0","0","0"
"3952","0","0","0"
"3955","0","0","0"
"3958","0","0","0"
"3969","0","0","0"
"3971","0","0","0"
"3989","0","0","0"
"3999","0","0","0"
"4002","0","0","0"
"4008","0","0","0"
"4017","0","0","0"
"4023","0","0","0"
"4025","0","0","0"
"4030","0","0","0"
"4047","0","0","0"
"4058","0","0","0"
"4091","0","0","0"
"4093","0","0","0"
"4105","0","0","0"
"4119","0","0","0"
"4124","0","0","0"
"4178","0","0","0"
"4185","0","0","0"
"4204","0","0","0"
"4213","0","0","0"
"4214","0","0","0"
"4222","0","0","0"
"4229","0","0","0"
"4239","0","0","0"
"4243","0","0","0"
"4246","0","0","0"
"4264","0","0","0"
"4293","0","0","0"
"4303","0","0","0"
"4307","0","0","0"
"4312","0","0","0"
"4314","0","0","0"
"4318","0","0","0"
"4332","0","0","0"
"4338","0","0","0"
"4343","0","0","0"
"4349","0","0","0"
"4355","0","0","0"
"4361","0","0","0"
"4372","0","0","0"
"4387","0","0","0"
"4393","0","0","0"
"4401","0","0","0"
"4419","0","0","0"
"4439","0","0","0"
"4440","0","0","0"
"4443","0","0","0"
"4446","0","0","0"
"4457","0","0","0"
"4468","0","0","0"
"4477","0","0","0"
"4484","0","0","0"
"4498","0","0","0"
"4499","0","0","0"
"4529","0","0","0"
"4532","0","0","0"
"4545","0","0","0"
"4548","0","0","0"
"4552","0","0","0"
"4554","0","0","0"
"4557","0","0","0"
"4569","0","0","0"
"4575","0","0","0"
"4576","0","0","0"
"4578","0","0","0"
"4595","0","0","0"
"4601","0","0","0"
"4606","0","0","0"
"4622","0","0","0"
"4642","0","0","0"
"4664","0","0","0"
"4675","0","0","0"
"4684","0","0","0"
"4693","0","0","0"
"4705","0","0","0"
"4725","0","0","0"
"4740","0","0","0"
"4765","0","0","0"
"4766","0","0","0"
"4775","0","0","0"
"4787","0","0","0"
"4794","0","0","0"
"4803","0","0","0"
"4805","0","0","0"
"4815","0","0","0"
"4819","0","0","0"
"4828","0","0","0"
"4834","0","0","0"
"4843","0","0","0"
"4851","0","0","0"
"4862","0","0","0"
"4864","0","0","0"
"4865","0","0","0"
"4874","0","0","0"
"4878","0","0","0"
"4896","0","0","0"
"4913","0","0","0"
"4925","0","0","0"
"4940","0","0","0"
"4949","0","0","0"
"4972","0","0","0"
"4978","0","0","0"
"4987","0","0","0"
"4993","0","0","0"
"5010","0","0","0"
"5015","0","0","0"
"5019","0","0","0"
"5037","0","0","0"
"5056","0","0","0"
"5063","0","0","0"
"5074","0","0","0"
"5088","0","0","0"
"5090","0","0","0"
"5094","0","0","0"
"5112","0","0","0"
"5126","0","0","0"
"5129","0","0","0"
"5143","0","0","0"
"5144","0","0","0"
"5161","0","0","0"
"5170","0","0","0"
"5171","0","0","0"
"5195","0","0","0"
"5204","0","0","0"
"5225","0","0","0"
"5230","0","0","0"
"5231","0","0","0"
"5268","0","0","0"
"5291","0","0","0"
"5293","0","0","0"
"5301","0","0","0"
"5302","0","0","0"
"5316","0","0","0"
"5329","0","0","0"
"5334","0","0","0"
"5335","0","0","0"
"5344","0","0","0"
"5363","0","0","0"
"5373","0","0","0"
"5374","0","0","0"
"5375","0","0","0"
"5376","0","0","0"
"5386","0","0","0"
"5390","0","0","0"
"5403","0","0","0"
"5405","0","0","0"
"5419","0","0","0"
"5422","0","0","0"
"5451","0","0","0"
"5460","0","0","0"
"5461","0","0","0"
"5466","0","0","0"
"5484","0","0","0"
"5494","0","0","0"
"5502","0","0","0"
"5505","0","0","0"
"5512","0","0","0"
"5517","0","0","0"
"5525","0","0","0"
"5529","0","0","0"
"5537","0","0","0"
"5566","0","0","0"
"5571","0","0","0"
"5573","0","0","0"
"5578","0","0","0"
"5598","0","0","0"
"5615","0","0","0"
"5616","0","0","0"
"5633","0","0","0"
"5636","0","0","0"
"5640","0","0","0"
"5667","0","0","0"
"5690","0","0","0"
"5698","0","0","0"
"5717","0","0","0"
"5718","0","0","0"
"5746","0","0","0"
"5764","0","0","0"
"5767","0","0","0"
"5771","0","0","0"
"5772","0","0","0"
"5775","0","0","0"
"5789","0","0","0"
"5794","0","0","0"
"5810","0","0","0"
"5816","0","0","0"
"5819","0","0","0"
"5834","0","0","0"
"5839","0","0","0"
"5844","0","0","0"
"5847","0","0","0"
"5850","0","0","0"
"5864","0","0","0"
"5878","0","0","0"
"5903","0","0","0"
"5905","0","0","0"
"5910","0","0","0"
"5932","0","0","0"
"5934","0","0","0"
"5937","0","0","0"
"5939","0","0","0"
"5946","0","0","0"
"5950","0","0","0"
"5956","0","0","0"
"5957","0","0","0"
"5959","0","0","0"
"5966","0","0","0"
"5976","0","0","0"
"5983","0","0","0"
"6005","0","0","0"
"6007","0","0","0"
"6011","0","0","0"
"6012","0","0","0"
"6023","0","0","0"
"6043","0","0","0"
"6047","0","0","0"
"6049","0","0","0"
"6060","0","0","0"
"6065","0","0","0"
"6071","0","0","0"
"6073","0","0","0"
"6081","0","0","0"
"6092","0","0","0"
"6101","0","0","0"
"6103","0","0","0"
"6116","0","0","0"
"6137","0","0","0"
"6163","0","0","0"
"6164","0","0","0"
"6172","0","0","0"
"6176","0","0","0"
"6191","0","0","0"
"6192","0","0","0"
"6204","0","0","0"
"6205","0","0","0"
"6211","0","0","0"
"6215","0","0","0"
