"Step","DQN_run_1747564920 - total_reward","DQN_run_1747564920 - total_reward__MIN","DQN_run_1747564920 - total_reward__MAX"
"1282","2","2","2"
"1286","0","0","0"
"1292","3","3","3"
"1300","-1","-1","-1"
"1304","0","0","0"
"1312","-2","-2","-2"
"1319","0","0","0"
"1326","1","1","1"
"1349","3","3","3"
"1354","1","1","1"
"1358","-1","-1","-1"
"1359","6","6","6"
"1360","-2","-2","-2"
"1368","-2","-2","-2"
"1370","3","3","3"
"1371","-1","-1","-1"
"1379","-1","-1","-1"
"1384","-1","-1","-1"
"1388","-1","-1","-1"
"1390","4","4","4"
"1392","0","0","0"
"1398","0","0","0"
"1401","-2","-2","-2"
"1406","0","0","0"
"1409","2","2","2"
"1411","2","2","2"
"1414","1","1","1"
"1428","2","2","2"
"1432","0","0","0"
"1438","2","2","2"
"1447","3","3","3"
"1448","2","2","2"
"1454","-1","-1","-1"
"1457","-2","-2","-2"
"1462","-3","-3","-3"
"1463","1","1","1"
"1464","-3","-3","-3"
"1466","0","0","0"
"1467","0","0","0"
"1471","-2","-2","-2"
"1475","3","3","3"
"1476","1","1","1"
"1479","-3","-3","-3"
"1482","-2","-2","-2"
"1483","-1","-1","-1"
"1501","-2","-2","-2"
"1502","-2","-2","-2"
"1510","-3","-3","-3"
"1511","-2","-2","-2"
"1513","-3","-3","-3"
"1520","2","2","2"
"1522","-1","-1","-1"
"1531","-1","-1","-1"
"1534","0","0","0"
"1535","-2","-2","-2"
"1536","-1","-1","-1"
"1537","4","4","4"
"1539","0","0","0"
"1549","-1","-1","-1"
"1554","3","3","3"
"1559","-2","-2","-2"
"1560","-2","-2","-2"
"1565","1","1","1"
"1581","-3","-3","-3"
"1583","-3","-3","-3"
"1587","1","1","1"
"1588","2","2","2"
"1618","-1","-1","-1"
"1622","-1","-1","-1"
"1628","-3","-3","-3"
"1646","-3","-3","-3"
"1647","0","0","0"
"1649","0","0","0"
"1650","-2","-2","-2"
"1656","-2","-2","-2"
"1662","9","9","9"
"1667","3","3","3"
"1678","-1","-1","-1"
"1683","-2","-2","-2"
"1687","-2","-2","-2"
"1688","-2","-2","-2"
"1692","-3","-3","-3"
"1693","0","0","0"
"1696","-3","-3","-3"
"1699","0","0","0"
"1704","-1","-1","-1"
"1706","-1","-1","-1"
"1710","0","0","0"
"1712","0","0","0"
"1722","-3","-3","-3"
"1730","-1","-1","-1"
"1734","0","0","0"
"1736","-2","-2","-2"
"1737","-2","-2","-2"
"1740","-2","-2","-2"
"1748","-3","-3","-3"
"1754","-1","-1","-1"
"1756","1","1","1"
"1765","-1","-1","-1"
"1782","-1","-1","-1"
"1783","-3","-3","-3"
"1787","-2","-2","-2"
"1798","-1","-1","-1"
"1800","-1","-1","-1"
"1803","-1","-1","-1"
"1804","-2","-2","-2"
"1805","-1","-1","-1"
"1806","5","5","5"
"1810","-2","-2","-2"
"1814","0","0","0"
"1819","-2","-2","-2"
"1821","-3","-3","-3"
"1824","-1","-1","-1"
"1825","0","0","0"
"1830","-2","-2","-2"
"1831","0","0","0"
"1832","-2","-2","-2"
"1837","-2","-2","-2"
"1841","-1","-1","-1"
"1842","-1","-1","-1"
"1845","0","0","0"
"1866","2","2","2"
"1868","1","1","1"
"1874","-3","-3","-3"
"1881","1","1","1"
"1886","-2","-2","-2"
"1892","2","2","2"
"1894","-3","-3","-3"
"1895","0","0","0"
"1899","-2","-2","-2"
"1901","-2","-2","-2"
"1907","1","1","1"
"1922","4","4","4"
"1929","1","1","1"
"1930","2","2","2"
"1941","-1","-1","-1"
"1952","-1","-1","-1"
"1962","-3","-3","-3"
"1970","-3","-3","-3"
"1976","0","0","0"
"1977","7","7","7"
"1982","1","1","1"
"1983","-1","-1","-1"
"1985","4","4","4"
"1986","3","3","3"
"1993","-2","-2","-2"
"2000","-2","-2","-2"
"2003","-1","-1","-1"
"2004","-1","-1","-1"
"2007","-2","-2","-2"
"2013","-1","-1","-1"
"2015","1","1","1"
"2020","3","3","3"
"2023","-1","-1","-1"
"2026","0","0","0"
"2033","-2","-2","-2"
"2034","-1","-1","-1"
"2042","-2","-2","-2"
"2044","-2","-2","-2"
"2045","-2","-2","-2"
"2048","-1","-1","-1"
"2064","-2","-2","-2"
"2067","-3","-3","-3"
"2069","3","3","3"
"2076","2","2","2"
"2082","-2","-2","-2"
"2095","-3","-3","-3"
"2100","-3","-3","-3"
"2102","1","1","1"
"2105","-3","-3","-3"
"2125","0","0","0"
"2135","-1","-1","-1"
"2137","3","3","3"
"2139","-2","-2","-2"
"2141","-2","-2","-2"
"2148","-2","-2","-2"
"2158","-2","-2","-2"
"2159","0","0","0"
"2160","2","2","2"
"2163","-3","-3","-3"
"2168","-2","-2","-2"
"2173","-1","-1","-1"
"2176","-3","-3","-3"
"2181","0","0","0"
"2201","-3","-3","-3"
"2202","-2","-2","-2"
"2210","-3","-3","-3"
"2215","-3","-3","-3"
"2219","-2","-2","-2"
"2222","4","4","4"
"2227","-1","-1","-1"
"2229","-3","-3","-3"
"2233","-2","-2","-2"
"2237","-1","-1","-1"
"2244","3","3","3"
"2245","-2","-2","-2"
"2253","-1","-1","-1"
"2260","-3","-3","-3"
"2268","-2","-2","-2"
"2273","-2","-2","-2"
"2308","0","0","0"
"2311","-1","-1","-1"
"2318","-2","-2","-2"
"2331","-2","-2","-2"
"2332","1","1","1"
"2333","-1","-1","-1"
"2334","7","7","7"
"2339","0","0","0"
"2340","-2","-2","-2"
"2355","2","2","2"
"2357","5","5","5"
"2359","0","0","0"
"2365","-3","-3","-3"
"2372","-3","-3","-3"
"2379","-1","-1","-1"
"2381","-2","-2","-2"
"2393","0","0","0"
"2410","-3","-3","-3"
"2414","-3","-3","-3"
"2420","2","2","2"
"2427","3","3","3"
"2453","-2","-2","-2"
"2459","-1","-1","-1"
"2467","-2","-2","-2"
"2469","0","0","0"
"2479","-1","-1","-1"
"2486","-2","-2","-2"
"2504","2","2","2"
"2505","1","1","1"
"2506","-2","-2","-2"
"2508","0","0","0"
"2510","3","3","3"
"2511","3","3","3"
"2517","-1","-1","-1"
"2519","-3","-3","-3"
"2531","0","0","0"
"2532","-2","-2","-2"
"2535","-2","-2","-2"
"2536","-2","-2","-2"
"2538","-1","-1","-1"
"2542","-1","-1","-1"
"2545","-2","-2","-2"
"2549","0","0","0"
"2551","0","0","0"
"2552","-3","-3","-3"
"2556","-3","-3","-3"
"2561","-2","-2","-2"
"2562","0","0","0"
"2565","-2","-2","-2"
"2567","-1","-1","-1"
"2573","-3","-3","-3"
"2585","2","2","2"
"2588","0","0","0"
"2591","-1","-1","-1"
"2595","0","0","0"
"2596","0","0","0"
"2599","1","1","1"
"2606","7","7","7"
"2607","-2","-2","-2"
"2611","-2","-2","-2"
"2615","-2","-2","-2"
"2616","4","4","4"
"2631","-1","-1","-1"
"2632","1","1","1"
"2643","2","2","2"
"2645","0","0","0"
"2647","-2","-2","-2"
"2649","-1","-1","-1"
"2650","0","0","0"
"2656","1","1","1"
"2658","1","1","1"
"2661","3","3","3"
"2665","0","0","0"
"2668","-2","-2","-2"
"2674","2","2","2"
"2682","1","1","1"
"2691","1","1","1"
"2694","-1","-1","-1"
"2696","-2","-2","-2"
"2703","-2","-2","-2"
"2705","8","8","8"
"2712","8","8","8"
"2715","-3","-3","-3"
"2734","0","0","0"
"2736","-2","-2","-2"
"2740","-3","-3","-3"
"2749","-3","-3","-3"
"2756","-3","-3","-3"
"2757","4","4","4"
"2773","-2","-2","-2"
"2778","0","0","0"
"2791","-2","-2","-2"
"2792","-1","-1","-1"
"2820","3","3","3"
"2821","-2","-2","-2"
"2822","2","2","2"
"2828","4","4","4"
"2829","1","1","1"
"2836","-3","-3","-3"
"2837","-1","-1","-1"
"2845","-3","-3","-3"
"2850","-2","-2","-2"
"2855","-1","-1","-1"
"2863","-2","-2","-2"
"2869","-2","-2","-2"
"2879","-1","-1","-1"
"2881","3","3","3"
"2892","-1","-1","-1"
"2895","-1","-1","-1"
"2902","-3","-3","-3"
"2906","1","1","1"
"2910","-1","-1","-1"
"2912","0","0","0"
"2913","2","2","2"
"2919","-1","-1","-1"
"2921","-2","-2","-2"
"2927","-2","-2","-2"
"2928","0","0","0"
"2930","-3","-3","-3"
"2934","-1","-1","-1"
"2937","-2","-2","-2"
"2941","-2","-2","-2"
"2946","-2","-2","-2"
"2952","1","1","1"
"2956","-2","-2","-2"
"2957","-2","-2","-2"
"2962","-2","-2","-2"
"2968","-3","-3","-3"
"2970","0","0","0"
"2997","-3","-3","-3"
"2999","2","2","2"
"3019","-1","-1","-1"
"3026","-2","-2","-2"
"3030","-3","-3","-3"
"3031","-1","-1","-1"
"3038","-1","-1","-1"
"3044","-1","-1","-1"
"3048","-2","-2","-2"
"3050","3","3","3"
"3051","-2","-2","-2"
"3056","-2","-2","-2"
"3058","-1","-1","-1"
"3064","-3","-3","-3"
"3065","1","1","1"
"3068","-2","-2","-2"
"3073","-2","-2","-2"
"3078","0","0","0"
"3082","-2","-2","-2"
"3090","-3","-3","-3"
"3093","-3","-3","-3"
"3096","-1","-1","-1"
"3098","-3","-3","-3"
"3120","0","0","0"
"3121","-1","-1","-1"
"3129","-3","-3","-3"
"3143","3","3","3"
"3145","-2","-2","-2"
"3153","-1","-1","-1"
"3175","-2","-2","-2"
"3181","-1","-1","-1"
"3186","-2","-2","-2"
"3198","1","1","1"
"3200","-2","-2","-2"
"3202","0","0","0"
"3205","-3","-3","-3"
"3208","2","2","2"
"3215","-2","-2","-2"
"3240","1","1","1"
"3246","-2","-2","-2"
"3250","-3","-3","-3"
"3253","-2","-2","-2"
"3258","-1","-1","-1"
"3261","-3","-3","-3"
"3274","-2","-2","-2"
"3279","0","0","0"
"3282","3","3","3"
"3289","-2","-2","-2"
"3292","1","1","1"
"3300","0","0","0"
"3315","-3","-3","-3"
"3323","-1","-1","-1"
"3324","-2","-2","-2"
"3330","-3","-3","-3"
"3331","-3","-3","-3"
"3337","-1","-1","-1"
"3338","-3","-3","-3"
"3340","-2","-2","-2"
"3344","-1","-1","-1"
"3347","-2","-2","-2"
"3348","-2","-2","-2"
"3356","-1","-1","-1"
"3365","-1","-1","-1"
"3375","-1","-1","-1"
"3383","-3","-3","-3"
"3385","-1","-1","-1"
"3396","0","0","0"
"3402","-1","-1","-1"
"3403","0","0","0"
"3410","-3","-3","-3"
"3417","-2","-2","-2"
"3420","-1","-1","-1"
"3431","1","1","1"
"3435","1","1","1"
"3437","-2","-2","-2"
"3442","-3","-3","-3"
"3457","-3","-3","-3"
"3459","-1","-1","-1"
"3466","-2","-2","-2"
"3473","-1","-1","-1"
"3475","-2","-2","-2"
"3479","-2","-2","-2"
"3481","-3","-3","-3"
"3483","1","1","1"
"3489","1","1","1"
"3491","-3","-3","-3"
"3493","5","5","5"
"3494","-2","-2","-2"
"3496","-2","-2","-2"
"3497","2","2","2"
"3501","0","0","0"
"3502","-1","-1","-1"
"3511","-3","-3","-3"
"3513","0","0","0"
"3517","-2","-2","-2"
"3522","-3","-3","-3"
"3525","0","0","0"
"3535","-2","-2","-2"
"3537","9","9","9"
"3547","-1","-1","-1"
"3551","-2","-2","-2"
"3552","-2","-2","-2"
"3555","6","6","6"
"3562","0","0","0"
"3568","-1","-1","-1"
"3571","3","3","3"
"3581","-2","-2","-2"
"3586","-2","-2","-2"
"3593","-2","-2","-2"
"3598","-2","-2","-2"
"3602","-3","-3","-3"
"3605","0","0","0"
"3606","-3","-3","-3"
"3607","-1","-1","-1"
"3611","-1","-1","-1"
"3622","-2","-2","-2"
"3623","-1","-1","-1"
"3632","9","9","9"
"3639","0","0","0"
"3641","-2","-2","-2"
"3644","-2","-2","-2"
"3647","-2","-2","-2"
"3651","-1","-1","-1"
"3655","-2","-2","-2"
"3656","-2","-2","-2"
"3658","-2","-2","-2"
"3663","-3","-3","-3"
"3665","-2","-2","-2"
"3676","0","0","0"
"3679","2","2","2"
"3680","1","1","1"
"3682","-1","-1","-1"
"3688","-3","-3","-3"
"3693","4","4","4"
"3698","-1","-1","-1"
"3702","3","3","3"
"3706","2","2","2"
"3709","1","1","1"
"3712","-3","-3","-3"
"3713","2","2","2"
"3717","2","2","2"
"3719","-3","-3","-3"
"3721","1","1","1"
"3724","-2","-2","-2"
"3729","-1","-1","-1"
"3740","1","1","1"
"3744","-2","-2","-2"
"3746","-1","-1","-1"
"3756","3","3","3"
"3768","-3","-3","-3"
"3772","-2","-2","-2"
"3775","0","0","0"
"3778","-2","-2","-2"
"3781","-3","-3","-3"
"3783","-2","-2","-2"
"3784","0","0","0"
"3788","3","3","3"
"3789","-2","-2","-2"
"3799","1","1","1"
"3802","-3","-3","-3"
"3804","-2","-2","-2"
"3812","1","1","1"
"3814","-3","-3","-3"
"3822","0","0","0"
"3839","-1","-1","-1"
"3840","1","1","1"
"3847","0","0","0"
"3864","-2","-2","-2"
"3868","0","0","0"
"3877","-3","-3","-3"
"3884","-3","-3","-3"
"3887","-3","-3","-3"
"3891","2","2","2"
"3899","0","0","0"
"3900","-1","-1","-1"
"3902","-3","-3","-3"
"3906","1","1","1"
"3908","-3","-3","-3"
"3911","1","1","1"
"3916","-3","-3","-3"
"3919","-2","-2","-2"
"3921","0","0","0"
"3922","-3","-3","-3"
