"Step","DQN_run_1747564920 - win","DQN_run_1747564920 - win__MIN","DQN_run_1747564920 - win__MAX"
"1510","0","0","0"
"1512","0","0","0"
"1513","0","0","0"
"1527","0","0","0"
"1530","0","0","0"
"1544","0","0","0"
"1550","0","0","0"
"1553","0","0","0"
"1555","0","0","0"
"1556","0","0","0"
"1563","0","0","0"
"1574","0","0","0"
"1576","0","0","0"
"1578","0","0","0"
"1582","0","0","0"
"1584","0","0","0"
"1592","0","0","0"
"1593","0","0","0"
"1599","0","0","0"
"1600","0","0","0"
"1609","0","0","0"
"1617","0","0","0"
"1624","0","0","0"
"1630","0","0","0"
"1635","0","0","0"
"1644","0","0","0"
"1654","0","0","0"
"1655","0","0","0"
"1658","0","0","0"
"1662","0","0","0"
"1668","0","0","0"
"1672","0","0","0"
"1675","0","0","0"
"1678","0","0","0"
"1685","0","0","0"
"1689","0","0","0"
"1692","0","0","0"
"1699","0","0","0"
"1702","0","0","0"
"1710","0","0","0"
"1715","0","0","0"
"1723","0","0","0"
"1726","0","0","0"
"1727","0","0","0"
"1732","0","0","0"
"1739","0","0","0"
"1753","0","0","0"
"1756","0","0","0"
"1759","0","0","0"
"1762","0","0","0"
"1768","0","0","0"
"1774","0","0","0"
"1775","0","0","0"
"1779","0","0","0"
"1788","0","0","0"
"1789","0","0","0"
"1793","0","0","0"
"1804","0","0","0"
"1811","0","0","0"
"1812","0","0","0"
"1817","0","0","0"
"1818","0","0","0"
"1820","0","0","0"
"1821","0","0","0"
"1829","0","0","0"
"1833","0","0","0"
"1838","0","0","0"
"1844","0","0","0"
"1847","0","0","0"
"1853","0","0","0"
"1860","0","0","0"
"1862","0","0","0"
"1863","0","0","0"
"1866","0","0","0"
"1869","0","0","0"
"1873","0","0","0"
"1878","0","0","0"
"1882","0","0","0"
"1892","0","0","0"
"1897","0","0","0"
"1898","0","0","0"
"1903","0","0","0"
"1904","0","0","0"
"1908","0","0","0"
"1917","0","0","0"
"1925","0","0","0"
"1931","0","0","0"
"1934","0","0","0"
"1937","0","0","0"
"1942","0","0","0"
"1954","0","0","0"
"1963","0","0","0"
"1966","0","0","0"
"1968","0","0","0"
"1969","0","0","0"
"1974","0","0","0"
"1975","0","0","0"
"1978","0","0","0"
"1985","0","0","0"
"1990","0","0","0"
"1996","0","0","0"
"1999","0","0","0"
"2003","0","0","0"
"2013","0","0","0"
"2015","0","0","0"
"2023","0","0","0"
"2026","0","0","0"
"2027","0","0","0"
"2029","0","0","0"
"2031","0","0","0"
"2039","0","0","0"
"2041","0","0","0"
"2049","0","0","0"
"2051","0","0","0"
"2057","0","0","0"
"2060","0","0","0"
"2074","0","0","0"
"2077","0","0","0"
"2087","0","0","0"
"2107","0","0","0"
"2114","0","0","0"
"2125","0","0","0"
"2126","0","0","0"
"2128","0","0","0"
"2138","0","0","0"
"2144","0","0","0"
"2145","0","0","0"
"2146","0","0","0"
"2160","0","0","0"
"2176","0","0","0"
"2179","0","0","0"
"2182","0","0","0"
"2188","0","0","0"
"2189","0","0","0"
"2205","0","0","0"
"2209","0","0","0"
"2210","0","0","0"
"2218","0","0","0"
"2225","0","0","0"
"2226","0","0","0"
"2233","0","0","0"
"2235","0","0","0"
"2250","0","0","0"
"2253","0","0","0"
"2254","0","0","0"
"2262","0","0","0"
"2263","0","0","0"
"2265","0","0","0"
"2267","0","0","0"
"2268","0","0","0"
"2269","0","0","0"
"2277","0","0","0"
"2287","0","0","0"
"2292","0","0","0"
"2296","0","0","0"
"2300","0","0","0"
"2310","0","0","0"
"2324","0","0","0"
"2327","0","0","0"
"2344","0","0","0"
"2350","0","0","0"
"2352","0","0","0"
"2353","0","0","0"
"2356","0","0","0"
"2360","0","0","0"
"2365","0","0","0"
"2367","0","0","0"
"2370","0","0","0"
"2377","0","0","0"
"2382","0","0","0"
"2392","0","0","0"
"2397","0","0","0"
"2402","0","0","0"
"2403","0","0","0"
"2411","0","0","0"
"2417","0","0","0"
"2424","0","0","0"
"2425","0","0","0"
"2429","0","0","0"
"2440","0","0","0"
"2444","0","0","0"
"2451","0","0","0"
"2454","0","0","0"
"2461","0","0","0"
"2467","0","0","0"
"2471","0","0","0"
"2472","0","0","0"
"2475","0","0","0"
"2477","0","0","0"
"2480","0","0","0"
"2482","0","0","0"
"2489","0","0","0"
"2490","0","0","0"
"2496","0","0","0"
"2498","0","0","0"
"2505","0","0","0"
"2509","0","0","0"
"2515","0","0","0"
"2520","0","0","0"
"2543","0","0","0"
"2544","0","0","0"
"2547","0","0","0"
"2549","0","0","0"
"2552","0","0","0"
"2557","0","0","0"
"2560","0","0","0"
"2563","0","0","0"
"2567","0","0","0"
"2568","0","0","0"
"2569","0","0","0"
"2570","0","0","0"
"2578","0","0","0"
"2580","0","0","0"
"2591","0","0","0"
"2592","0","0","0"
"2599","0","0","0"
"2607","0","0","0"
"2611","0","0","0"
"2615","0","0","0"
"2617","0","0","0"
"2625","0","0","0"
"2629","0","0","0"
"2632","0","0","0"
"2641","0","0","0"
"2645","0","0","0"
"2658","0","0","0"
"2659","0","0","0"
"2669","0","0","0"
"2671","0","0","0"
"2673","0","0","0"
"2674","0","0","0"
"2676","0","0","0"
"2680","0","0","0"
"2682","0","0","0"
"2690","0","0","0"
"2703","0","0","0"
"2708","0","0","0"
"2709","0","0","0"
"2710","0","0","0"
"2712","0","0","0"
"2713","0","0","0"
"2722","0","0","0"
"2724","0","0","0"
"2738","0","0","0"
"2748","0","0","0"
"2750","0","0","0"
"2757","0","0","0"
"2758","0","0","0"
"2760","0","0","0"
"2761","0","0","0"
"2762","0","0","0"
"2765","0","0","0"
"2770","0","0","0"
"2771","0","0","0"
"2772","0","0","0"
"2773","0","0","0"
"2777","0","0","0"
"2779","0","0","0"
"2795","0","0","0"
"2797","0","0","0"
"2800","0","0","0"
"2810","0","0","0"
"2814","0","0","0"
"2818","0","0","0"
"2822","0","0","0"
"2823","0","0","0"
"2825","0","0","0"
"2826","0","0","0"
"2830","0","0","0"
"2832","0","0","0"
"2840","0","0","0"
"2842","0","0","0"
"2847","0","0","0"
"2859","0","0","0"
"2863","0","0","0"
"2878","0","0","0"
"2880","0","0","0"
"2893","0","0","0"
"2896","0","0","0"
"2897","0","0","0"
"2899","0","0","0"
"2901","0","0","0"
"2906","0","0","0"
"2907","0","0","0"
"2911","0","0","0"
"2912","0","0","0"
"2914","0","0","0"
"2918","0","0","0"
"2925","0","0","0"
"2933","0","0","0"
"2946","0","0","0"
"2953","0","0","0"
"2955","0","0","0"
"2962","0","0","0"
"2975","0","0","0"
"2980","0","0","0"
"2987","0","0","0"
"2990","0","0","0"
"2994","0","0","0"
"2996","0","0","0"
"3013","0","0","0"
"3017","0","0","0"
"3018","0","0","0"
"3020","0","0","0"
"3021","0","0","0"
"3026","0","0","0"
"3029","0","0","0"
"3032","0","0","0"
"3043","0","0","0"
"3051","0","0","0"
"3055","0","0","0"
"3057","0","0","0"
"3058","0","0","0"
"3059","0","0","0"
"3060","0","0","0"
"3068","0","0","0"
"3071","0","0","0"
"3073","0","0","0"
"3084","0","0","0"
"3094","0","0","0"
"3103","0","0","0"
"3104","0","0","0"
"3116","0","0","0"
"3117","0","0","0"
"3122","0","0","0"
"3137","0","0","0"
"3143","0","0","0"
"3150","0","0","0"
"3157","0","0","0"
"3158","0","0","0"
"3160","0","0","0"
"3167","0","0","0"
"3174","0","0","0"
"3190","0","0","0"
"3205","0","0","0"
"3206","0","0","0"
"3210","0","0","0"
"3224","0","0","0"
"3234","0","0","0"
"3240","0","0","0"
"3242","0","0","0"
"3246","0","0","0"
"3247","0","0","0"
"3248","0","0","0"
"3251","0","0","0"
"3253","0","0","0"
"3255","0","0","0"
"3272","0","0","0"
"3273","0","0","0"
"3284","0","0","0"
"3289","0","0","0"
"3291","0","0","0"
"3298","0","0","0"
"3300","0","0","0"
"3307","0","0","0"
"3314","0","0","0"
"3315","0","0","0"
"3318","0","0","0"
"3335","0","0","0"
"3345","0","0","0"
"3347","0","0","0"
"3357","0","0","0"
"3364","0","0","0"
"3376","0","0","0"
"3381","0","0","0"
"3382","0","0","0"
"3386","0","0","0"
"3387","0","0","0"
"3390","0","0","0"
"3397","0","0","0"
"3399","0","0","0"
"3402","0","0","0"
"3404","0","0","0"
"3407","0","0","0"
"3409","0","0","0"
"3419","0","0","0"
"3424","0","0","0"
"3435","0","0","0"
"3436","0","0","0"
"3440","0","0","0"
"3442","0","0","0"
"3445","0","0","0"
"3464","0","0","0"
"3466","0","0","0"
"3476","0","0","0"
"3480","0","0","0"
"3482","0","0","0"
"3485","0","0","0"
"3486","0","0","0"
"3487","0","0","0"
"3488","0","0","0"
"3491","0","0","0"
"3493","0","0","0"
"3496","0","0","0"
"3498","0","0","0"
"3501","0","0","0"
"3509","0","0","0"
"3510","0","0","0"
"3514","0","0","0"
"3524","0","0","0"
"3527","0","0","0"
"3528","0","0","0"
"3536","0","0","0"
"3545","0","0","0"
"3568","0","0","0"
"3579","0","0","0"
"3580","0","0","0"
"3581","0","0","0"
"3589","0","0","0"
"3608","0","0","0"
"3609","0","0","0"
"3611","0","0","0"
"3620","0","0","0"
"3623","0","0","0"
"3636","0","0","0"
"3637","0","0","0"
"3653","0","0","0"
"3655","0","0","0"
"3656","0","0","0"
"3662","0","0","0"
"3667","0","0","0"
"3670","0","0","0"
"3676","0","0","0"
"3679","0","0","0"
"3681","0","0","0"
"3684","0","0","0"
"3698","0","0","0"
"3704","0","0","0"
"3706","0","0","0"
"3716","0","0","0"
"3720","0","0","0"
"3722","0","0","0"
"3725","0","0","0"
"3732","0","0","0"
"3738","0","0","0"
"3740","0","0","0"
"3755","0","0","0"
"3759","0","0","0"
"3763","0","0","0"
"3768","0","0","0"
"3772","0","0","0"
"3774","0","0","0"
"3776","0","0","0"
"3780","0","0","0"
"3787","0","0","0"
"3791","0","0","0"
"3793","0","0","0"
"3813","0","0","0"
"3817","0","0","0"
"3819","0","0","0"
"3820","0","0","0"
"3832","0","0","0"
"3833","0","0","0"
"3836","0","0","0"
"3841","0","0","0"
"3852","0","0","0"
"3865","0","0","0"
"3867","0","0","0"
"3873","0","0","0"
"3874","0","0","0"
"3878","0","0","0"
"3881","0","0","0"
"3887","0","0","0"
"3888","0","0","0"
"3892","0","0","0"
"3900","0","0","0"
"3905","0","0","0"
"3910","0","0","0"
"3914","0","0","0"
"3921","0","0","0"
"3922","0","0","0"
"3923","0","0","0"
"3940","0","0","0"
"3941","0","0","0"
"3946","0","0","0"
"3961","0","0","0"
"3962","0","0","0"
"3970","0","0","0"
"3972","0","0","0"
"3973","0","0","0"
"3978","0","0","0"
"3991","0","0","0"
"3997","0","0","0"
"4004","0","0","0"
"4008","0","0","0"
"4020","0","0","0"
"4025","0","0","0"
"4038","0","0","0"
"4040","0","0","0"
"4048","0","0","0"
"4053","0","0","0"
"4062","0","0","0"
"4067","0","0","0"
"4074","0","0","0"
"4075","0","0","0"
"4080","0","0","0"
"4083","0","0","0"
"4092","0","0","0"
"4093","0","0","0"
"4102","0","0","0"
"4107","0","0","0"
"4109","0","0","0"
"4113","0","0","0"
"4115","0","0","0"
"4127","0","0","0"
"4128","0","0","0"
"4131","0","0","0"
"4138","0","0","0"
"4142","0","0","0"
"4148","0","0","0"
"4151","0","0","0"
"4152","0","0","0"
"4158","0","0","0"
"4166","0","0","0"
"4176","0","0","0"
"4180","0","0","0"
"4183","0","0","0"
"4186","0","0","0"
"4187","0","0","0"
"4188","0","0","0"
"4194","0","0","0"
"4201","0","0","0"
"4205","0","0","0"
"4229","0","0","0"
"4235","0","0","0"
"4238","0","0","0"
"4240","0","0","0"
"4265","0","0","0"
"4273","0","0","0"
"4278","0","0","0"
"4280","0","0","0"
"4282","0","0","0"
"4284","0","0","0"
"4285","0","0","0"
"4298","0","0","0"
"4309","0","0","0"
"4314","0","0","0"
"4315","0","0","0"
"4316","0","0","0"
"4318","0","0","0"
"4321","0","0","0"
"4327","0","0","0"
"4334","0","0","0"
"4356","0","0","0"
"4365","0","0","0"
"4368","0","0","0"
"4373","0","0","0"
"4374","0","0","0"
"4382","0","0","0"
"4386","0","0","0"
"4389","0","0","0"
"4395","0","0","0"
"4396","0","0","0"
"4398","0","0","0"
"4400","0","0","0"
"4403","0","0","0"
"4410","0","0","0"
"4413","0","0","0"
"4428","0","0","0"
"4429","0","0","0"
"4432","0","0","0"
"4441","0","0","0"
"4442","0","0","0"
"4450","0","0","0"
"4460","0","0","0"
"4463","0","0","0"
"4464","0","0","0"
"4468","0","0","0"
"4476","0","0","0"
"4479","0","0","0"
"4485","0","0","0"
"4491","0","0","0"
"4497","0","0","0"
"4500","0","0","0"
"4502","0","0","0"
"4517","0","0","0"
"4518","0","0","0"
"4522","0","0","0"
"4530","0","0","0"
"4536","0","0","0"
"4540","0","0","0"
"4542","0","0","0"
"4548","0","0","0"
"4549","0","0","0"
"4556","0","0","0"
"4569","0","0","0"
"4578","0","0","0"
"4591","0","0","0"
"4601","0","0","0"
"4603","0","0","0"
"4613","0","0","0"
"4615","0","0","0"
"4620","0","0","0"
"4628","0","0","0"
"4632","0","0","0"
"4636","0","0","0"
"4637","0","0","0"
"4641","0","0","0"
"4647","0","0","0"
"4649","0","0","0"
"4658","0","0","0"
"4664","0","0","0"
"4665","0","0","0"
"4666","0","0","0"
"4684","0","0","0"
"4699","0","0","0"
"4700","0","0","0"
"4701","0","0","0"
"4704","0","0","0"
"4717","0","0","0"
"4727","0","0","0"
"4732","0","0","0"
"4733","0","0","0"
"4741","0","0","0"
"4746","0","0","0"
"4747","0","0","0"
"4753","0","0","0"
"4755","0","0","0"
"4759","0","0","0"
"4760","0","0","0"
"4761","0","0","0"
"4762","0","0","0"
"4767","0","0","0"
"4774","0","0","0"
"4775","0","0","0"
"4780","0","0","0"
"4784","0","0","0"
"4787","0","0","0"
"4789","0","0","0"
"4790","0","0","0"
"4792","0","0","0"
"4793","0","0","0"
"4794","0","0","0"
"4795","0","0","0"
"4797","0","0","0"
"4799","0","0","0"
"4811","0","0","0"
"4817","0","0","0"
"4818","0","0","0"
"4822","0","0","0"
"4828","0","0","0"
"4835","0","0","0"
"4848","0","0","0"
"4852","0","0","0"
"4862","0","0","0"
"4866","0","0","0"
"4875","0","0","0"
"4878","0","0","0"
"4885","0","0","0"
"4888","0","0","0"
"4895","0","0","0"
"4896","0","0","0"
"4897","0","0","0"
"4901","0","0","0"
"4907","0","0","0"
"4909","0","0","0"
"4912","0","0","0"
"4923","0","0","0"
"4926","0","0","0"
"4942","0","0","0"
"4943","0","0","0"
"4959","0","0","0"
"4960","0","0","0"
