wandb: Currently logged in as: bastien-jossen (bastien-jossen-university-of-bern) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /storage/homefs/bj20p045/NewRL/Non-Det/DQN/wandb/run-20250518_143205-obvxqtuc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run non_Det_DQN_run_1747571525
wandb: ⭐️ View project at https://wandb.ai/bastien-jossen-university-of-bern/minesweeper-RL
wandb: 🚀 View run at https://wandb.ai/bastien-jossen-university-of-bern/minesweeper-RL/runs/obvxqtuc
Episode 31000 | Return: -2.00 | Win: 0.00
Episode 32000 | Return: -1.00 | Win: 0.00
Episode 33000 | Return: -1.00 | Win: 0.00
Episode 34000 | Return: -1.00 | Win: 0.00
Episode 35000 | Return: 2.00 | Win: 0.00
Episode 36000 | Return: 0.00 | Win: 0.00
Episode 37000 | Return: 1.00 | Win: 0.00
Episode 38000 | Return: -2.00 | Win: 0.00
Episode 39000 | Return: 7.00 | Win: 0.00
Episode 40000 | Return: 10.00 | Win: 0.00
Episode 41000 | Return: -1.00 | Win: 0.00
Episode 42000 | Return: 0.00 | Win: 0.00
Episode 43000 | Return: 0.00 | Win: 0.00
Episode 44000 | Return: -2.00 | Win: 0.00
Episode 45000 | Return: 0.00 | Win: 0.00
Episode 46000 | Return: -1.00 | Win: 0.00
Episode 47000 | Return: 0.00 | Win: 0.00
Episode 48000 | Return: -2.00 | Win: 0.00
Episode 49000 | Return: 7.00 | Win: 0.00
Episode 50000 | Return: -2.00 | Win: 0.00
Episode 51000 | Return: -1.00 | Win: 0.00
Episode 52000 | Return: 1.00 | Win: 0.00
Episode 53000 | Return: -2.00 | Win: 0.00
Episode 54000 | Return: -2.00 | Win: 0.00
Episode 55000 | Return: -2.00 | Win: 0.00
Episode 56000 | Return: -2.00 | Win: 0.00
Episode 57000 | Return: -1.00 | Win: 0.00
Episode 58000 | Return: -2.00 | Win: 0.00
Episode 59000 | Return: -1.00 | Win: 0.00
Episode 60000 | Return: -1.00 | Win: 0.00
Episode 61000 | Return: -1.00 | Win: 0.00
