episode,train_reward,win,roll_mean,roll_std,roll_win
273,-3.0,0,,,
274,-2.0,0,,,
275,2.0,0,,,
276,-3.0,0,,,
277,3.0,0,,,
278,-1.0,0,,,
279,-1.0,0,,,
280,-3.0,0,,,
281,0.0,0,,,
282,5.0,0,,,
283,-3.0,0,,,
284,-2.0,0,,,
285,-2.0,0,,,
286,-3.0,0,,,
287,-2.0,0,,,
288,-2.0,0,,,
289,1.0,0,,,
290,-3.0,0,,,
291,-1.0,0,,,
292,-2.0,0,,,
293,7.0,0,,,
294,1.0,0,,,
295,-3.0,0,,,
296,-2.0,0,,,
297,-2.0,0,,,
298,1.0,0,,,
299,3.0,0,,,
300,-2.0,0,,,
301,-2.0,0,,,
302,0.0,0,,,
303,1.0,0,,,
304,1.0,0,,,
305,0.0,0,,,
306,3.0,0,,,
307,0.0,0,,,
308,4.0,0,,,
309,-3.0,0,,,
310,-3.0,0,,,
311,1.0,0,,,
312,0.0,0,,,
313,1.0,0,,,
314,-1.0,0,,,
315,-3.0,0,,,
316,1.0,0,,,
317,-1.0,0,,,
318,0.0,0,,,
319,-2.0,0,,,
320,0.0,0,,,
321,-1.0,0,,,
322,0.0,0,,,
323,-3.0,0,,,
324,-2.0,0,,,
325,0.0,0,,,
326,-1.0,0,,,
327,-3.0,0,,,
328,-2.0,0,,,
329,-1.0,0,,,
330,1.0,0,,,
331,3.0,0,,,
332,0.0,0,,,
333,-2.0,0,,,
334,-1.0,0,,,
335,-3.0,0,,,
336,-2.0,0,,,
337,-3.0,0,,,
338,1.0,0,,,
339,-3.0,0,,,
340,-1.0,0,,,
341,3.0,0,,,
342,-2.0,0,,,
343,2.0,0,,,
344,-3.0,0,,,
345,-1.0,0,,,
346,5.0,0,,,
347,-2.0,0,,,
348,-3.0,0,,,
349,5.0,0,,,
350,-3.0,0,,,
351,-1.0,0,,,
352,-3.0,0,,,
353,-3.0,0,,,
354,0.0,0,,,
355,-2.0,0,,,
356,7.0,0,,,
357,0.0,0,,,
358,-1.0,0,,,
359,-3.0,0,,,
360,1.0,0,,,
361,-1.0,0,,,
362,-2.0,0,,,
363,1.0,0,,,
364,-1.0,0,,,
365,-3.0,0,,,
366,-2.0,0,,,
367,-1.0,0,,,
368,-3.0,0,,,
369,-1.0,0,,,
370,-2.0,0,,,
371,0.0,0,,,
372,-2.0,0,,,
373,-1.0,0,,,
374,-2.0,0,,,
375,3.0,0,,,
376,-2.0,0,,,
377,-3.0,0,,,
378,1.0,0,,,
379,1.0,0,,,
380,1.0,0,,,
381,0.0,0,,,
382,-3.0,0,,,
383,-1.0,0,,,
384,-3.0,0,,,
385,-1.0,0,,,
386,-1.0,0,,,
387,2.0,0,,,
388,-2.0,0,,,
389,3.0,0,,,
390,-1.0,0,,,
391,-1.0,0,,,
392,-2.0,0,,,
393,-1.0,0,,,
394,-3.0,0,,,
395,-1.0,0,,,
396,-3.0,0,,,
397,0.0,0,,,
398,-3.0,0,,,
399,1.0,0,,,
400,1.0,0,,,
401,-1.0,0,,,
402,-2.0,0,,,
403,-1.0,0,,,
404,-3.0,0,,,
405,2.0,0,,,
406,-2.0,0,,,
407,-2.0,0,,,
408,-1.0,0,,,
409,-2.0,0,,,
410,0.0,0,,,
411,-1.0,0,,,
412,-1.0,0,,,
413,0.0,0,,,
414,0.0,0,,,
415,-2.0,0,,,
416,0.0,0,,,
417,2.0,0,,,
418,-2.0,0,,,
419,-3.0,0,,,
420,-2.0,0,,,
421,-1.0,0,,,
422,2.0,0,,,
423,5.0,0,,,
424,0.0,0,,,
425,-1.0,0,,,
426,-3.0,0,,,
427,0.0,0,,,
428,1.0,0,,,
429,1.0,0,,,
430,-3.0,0,,,
431,-2.0,0,,,
432,6.0,0,,,
433,0.0,0,,,
434,3.0,0,,,
435,7.0,0,,,
436,2.0,0,,,
437,0.0,0,,,
438,-2.0,0,,,
439,-3.0,0,,,
440,-3.0,0,,,
441,-2.0,0,,,
442,-2.0,0,,,
443,-2.0,0,,,
444,2.0,0,,,
445,-2.0,0,,,
446,-2.0,0,,,
447,0.0,0,,,
448,1.0,0,,,
449,-2.0,0,,,
450,-2.0,0,,,
451,-1.0,0,,,
452,0.0,0,,,
453,-1.0,0,,,
454,-2.0,0,,,
455,0.0,0,,,
456,1.0,0,,,
457,-2.0,0,,,
458,0.0,0,,,
459,2.0,0,,,
460,0.0,0,,,
461,4.0,0,,,
462,-1.0,0,,,
463,3.0,0,,,
464,1.0,0,,,
465,-2.0,0,,,
466,-2.0,0,,,
467,-3.0,0,,,
468,-2.0,0,,,
469,-2.0,0,,,
470,-2.0,0,,,
471,-1.0,0,,,
472,-2.0,0,,,
473,-2.0,0,,,
474,-3.0,0,,,
475,0.0,0,,,
476,-1.0,0,,,
477,6.0,0,,,
478,-3.0,0,,,
479,0.0,0,,,
480,4.0,0,,,
481,-3.0,0,,,
482,0.0,0,,,
483,-1.0,0,,,
484,2.0,0,,,
485,-2.0,0,,,
486,-2.0,0,,,
487,-2.0,0,,,
488,-2.0,0,,,
489,-3.0,0,,,
490,-1.0,0,,,
491,2.0,0,,,
492,-1.0,0,,,
493,-1.0,0,,,
494,0.0,0,,,
495,-2.0,0,,,
496,2.0,0,,,
497,-2.0,0,,,
498,0.0,0,,,
499,2.0,0,,,
500,-2.0,0,,,
501,0.0,0,,,
502,-3.0,0,,,
503,1.0,0,,,
504,4.0,0,,,
505,-3.0,0,,,
506,-2.0,0,,,
507,0.0,0,,,
508,-2.0,0,,,
509,-2.0,0,,,
510,3.0,0,,,
511,-3.0,0,,,
512,-1.0,0,,,
513,0.0,0,,,
514,4.0,0,,,
515,0.0,0,,,
516,3.0,0,,,
517,1.0,0,,,
518,1.0,0,,,
519,-2.0,0,,,
520,3.0,0,,,
521,-3.0,0,,,
522,-1.0,0,,,
523,1.0,0,,,
524,2.0,0,,,
525,-2.0,0,,,
526,-2.0,0,,,
527,-2.0,0,,,
528,-2.0,0,,,
529,0.0,0,,,
530,1.0,0,,,
531,1.0,0,,,
532,-3.0,0,,,
533,-3.0,0,,,
534,-1.0,0,,,
535,-1.0,0,,,
536,2.0,0,,,
537,-2.0,0,,,
538,0.0,0,,,
539,-2.0,0,,,
540,-2.0,0,,,
541,-2.0,0,,,
542,0.0,0,,,
543,-2.0,0,,,
544,-1.0,0,,,
545,-2.0,0,,,
546,3.0,0,,,
547,-3.0,0,,,
548,-2.0,0,,,
549,0.0,0,,,
550,-2.0,0,,,
551,-1.0,0,,,
552,-1.0,0,,,
553,-3.0,0,,,
554,2.0,0,,,
555,1.0,0,,,
556,0.0,0,,,
557,-2.0,0,,,
558,-2.0,0,,,
559,-3.0,0,,,
560,-3.0,0,,,
561,1.0,0,,,
562,1.0,0,,,
563,-3.0,0,,,
564,0.0,0,,,
565,-2.0,0,,,
566,-3.0,0,,,
567,-3.0,0,,,
568,-3.0,0,,,
569,-2.0,0,,,
570,3.0,0,,,
571,-2.0,0,,,
572,0.0,0,,,
573,1.0,0,,,
574,-3.0,0,,,
575,0.0,0,,,
576,0.0,0,,,
577,0.0,0,,,
578,2.0,0,,,
579,-3.0,0,,,
580,-3.0,0,,,
581,-1.0,0,,,
582,3.0,0,,,
583,-1.0,0,,,
584,-3.0,0,,,
585,-2.0,0,,,
586,-2.0,0,,,
587,-1.0,0,,,
588,-3.0,0,,,
589,-3.0,0,,,
590,-1.0,0,,,
591,-1.0,0,,,
592,-1.0,0,,,
593,0.0,0,,,
594,1.0,0,,,
595,-1.0,0,,,
596,-1.0,0,,,
597,-3.0,0,,,
598,-2.0,0,,,
599,-3.0,0,,,
600,-2.0,0,,,
601,-2.0,0,,,
602,1.0,0,,,
603,-2.0,0,,,
604,-2.0,0,,,
605,0.0,0,,,
606,3.0,0,,,
607,-1.0,0,,,
608,1.0,0,,,
609,-2.0,0,,,
610,1.0,0,,,
611,1.0,0,,,
612,2.0,0,,,
613,-2.0,0,,,
614,-2.0,0,,,
615,-1.0,0,,,
616,2.0,0,,,
617,2.0,0,,,
618,0.0,0,,,
619,4.0,0,,,
