"Step","non_det_DDQN_3_100k - total_reward","non_det_DDQN_3_100k - total_reward__MIN","non_det_DDQN_3_100k - total_reward__MAX"
"2558","-2","-2","-2"
"2559","-2","-2","-2"
"2563","2","2","2"
"2569","0","0","0"
"2577","-2","-2","-2"
"2618","0","0","0"
"2619","-2","-2","-2"
"2624","-2","-2","-2"
"2625","-1","-1","-1"
"2628","1","1","1"
"2629","3","3","3"
"2647","3","3","3"
"2656","0","0","0"
"2695","-2","-2","-2"
"2709","2","2","2"
"2717","5","5","5"
"2739","-1","-1","-1"
"2741","-2","-2","-2"
"2743","0","0","0"
"2752","-2","-2","-2"
"2759","1","1","1"
"2765","-1","-1","-1"
"2775","1","1","1"
"2780","-1","-1","-1"
"2795","-1","-1","-1"
"2815","0","0","0"
"2851","-2","-2","-2"
"2859","12","12","12"
"2865","-2","-2","-2"
"2885","1","1","1"
"2886","-2","-2","-2"
"2895","3","3","3"
"2898","-1","-1","-1"
"2899","-2","-2","-2"
"2913","-2","-2","-2"
"2917","2","2","2"
"2921","0","0","0"
"2925","-2","-2","-2"
"2935","-1","-1","-1"
"2944","-2","-2","-2"
"2949","1","1","1"
"2958","-1","-1","-1"
"2959","-2","-2","-2"
"2966","-1","-1","-1"
"2979","-2","-2","-2"
"2982","0","0","0"
"2984","-1","-1","-1"
"2995","0","0","0"
"3000","0","0","0"
"3028","-2","-2","-2"
"3034","-1","-1","-1"
"3046","-1","-1","-1"
"3055","-1","-1","-1"
"3064","-2","-2","-2"
"3069","-1","-1","-1"
"3091","-2","-2","-2"
"3101","-2","-2","-2"
"3102","1","1","1"
"3114","-2","-2","-2"
"3122","-1","-1","-1"
"3132","-1","-1","-1"
"3134","0","0","0"
"3141","-2","-2","-2"
"3144","8","8","8"
"3151","-1","-1","-1"
"3157","-2","-2","-2"
"3166","0","0","0"
"3172","1","1","1"
"3179","-2","-2","-2"
"3187","-1","-1","-1"
"3194","-2","-2","-2"
"3198","0","0","0"
"3208","-1","-1","-1"
"3212","-2","-2","-2"
"3225","-1","-1","-1"
"3226","0","0","0"
"3236","-2","-2","-2"
"3256","-2","-2","-2"
"3257","-2","-2","-2"
"3265","2","2","2"
"3269","0","0","0"
"3277","-2","-2","-2"
"3297","-2","-2","-2"
"3307","1","1","1"
"3320","-2","-2","-2"
"3324","-2","-2","-2"
"3346","1","1","1"
"3347","0","0","0"
"3370","-2","-2","-2"
"3380","-1","-1","-1"
"3390","-2","-2","-2"
"3412","0","0","0"
"3426","0","0","0"
"3434","1","1","1"
"3438","0","0","0"
"3456","-1","-1","-1"
"3457","1","1","1"
"3459","-2","-2","-2"
"3464","-2","-2","-2"
"3469","-2","-2","-2"
"3470","0","0","0"
"3472","-2","-2","-2"
"3489","-2","-2","-2"
"3491","0","0","0"
"3504","-1","-1","-1"
"3508","1","1","1"
"3510","-2","-2","-2"
"3517","-2","-2","-2"
"3518","-2","-2","-2"
"3521","-2","-2","-2"
"3522","-1","-1","-1"
"3531","-2","-2","-2"
"3542","-1","-1","-1"
"3559","-2","-2","-2"
"3561","-1","-1","-1"
"3568","-2","-2","-2"
"3585","-2","-2","-2"
"3587","-1","-1","-1"
"3593","1","1","1"
"3611","-1","-1","-1"
"3632","-1","-1","-1"
"3647","0","0","0"
"3652","-2","-2","-2"
"3656","1","1","1"
"3666","5","5","5"
"3686","-2","-2","-2"
"3696","-1","-1","-1"
"3698","-2","-2","-2"
"3700","-1","-1","-1"
"3701","0","0","0"
"3707","-1","-1","-1"
"3719","-2","-2","-2"
"3723","-2","-2","-2"
"3727","1","1","1"
"3729","4","4","4"
"3737","-1","-1","-1"
"3738","0","0","0"
"3750","-1","-1","-1"
"3753","-2","-2","-2"
"3757","-2","-2","-2"
"3761","-2","-2","-2"
"3769","-2","-2","-2"
"3774","0","0","0"
"3776","-2","-2","-2"
"3810","1","1","1"
"3818","-2","-2","-2"
"3821","-2","-2","-2"
"3827","-1","-1","-1"
"3828","1","1","1"
"3834","-1","-1","-1"
"3836","-2","-2","-2"
