"Step","non_det_DDQN_3_100k - win","non_det_DDQN_3_100k - win__MIN","non_det_DDQN_3_100k - win__MAX"
"2918","0","0","0"
"2927","0","0","0"
"2934","0","0","0"
"2936","0","0","0"
"2943","0","0","0"
"2958","0","0","0"
"2960","0","0","0"
"2991","0","0","0"
"3009","0","0","0"
"3011","0","0","0"
"3040","0","0","0"
"3046","0","0","0"
"3048","0","0","0"
"3053","0","0","0"
"3055","0","0","0"
"3061","0","0","0"
"3063","0","0","0"
"3064","0","0","0"
"3065","0","0","0"
"3069","0","0","0"
"3072","0","0","0"
"3073","0","0","0"
"3112","0","0","0"
"3146","0","0","0"
"3148","0","0","0"
"3154","0","0","0"
"3164","0","0","0"
"3165","0","0","0"
"3174","0","0","0"
"3178","0","0","0"
"3181","0","0","0"
"3182","0","0","0"
"3195","0","0","0"
"3206","0","0","0"
"3218","0","0","0"
"3233","0","0","0"
"3249","0","0","0"
"3258","0","0","0"
"3273","0","0","0"
"3278","0","0","0"
"3280","0","0","0"
"3308","0","0","0"
"3319","0","0","0"
"3335","0","0","0"
"3348","0","0","0"
"3358","0","0","0"
"3360","0","0","0"
"3369","0","0","0"
"3382","0","0","0"
"3390","0","0","0"
"3394","0","0","0"
"3396","0","0","0"
"3397","0","0","0"
"3407","0","0","0"
"3411","0","0","0"
"3426","0","0","0"
"3429","0","0","0"
"3445","0","0","0"
"3450","0","0","0"
"3463","0","0","0"
"3465","0","0","0"
"3471","0","0","0"
"3472","0","0","0"
"3493","0","0","0"
"3511","0","0","0"
"3516","0","0","0"
"3518","0","0","0"
"3529","0","0","0"
"3534","0","0","0"
"3540","0","0","0"
"3541","0","0","0"
"3550","0","0","0"
"3555","0","0","0"
"3562","0","0","0"
"3583","0","0","0"
"3594","0","0","0"
"3608","0","0","0"
"3636","0","0","0"
"3655","0","0","0"
"3656","0","0","0"
"3657","0","0","0"
"3677","0","0","0"
"3690","0","0","0"
"3695","0","0","0"
"3712","0","0","0"
"3714","0","0","0"
"3722","0","0","0"
"3735","0","0","0"
"3770","0","0","0"
"3771","0","0","0"
"3772","0","0","0"
"3785","0","0","0"
"3793","0","0","0"
"3831","0","0","0"
"3838","0","0","0"
"3851","0","0","0"
"3866","0","0","0"
"3874","0","0","0"
"3886","0","0","0"
"3902","0","0","0"
"3917","0","0","0"
"3918","0","0","0"
"3919","0","0","0"
"3926","0","0","0"
"3929","0","0","0"
"3940","0","0","0"
"3941","0","0","0"
"3951","0","0","0"
"3953","0","0","0"
"3961","0","0","0"
"3972","0","0","0"
"3977","0","0","0"
"3981","0","0","0"
"4007","0","0","0"
"4018","0","0","0"
"4036","0","0","0"
"4055","0","0","0"
"4077","0","0","0"
"4086","0","0","0"
"4103","0","0","0"
"4112","0","0","0"
"4113","0","0","0"
"4116","0","0","0"
"4131","0","0","0"
"4156","0","0","0"
"4159","0","0","0"
"4194","0","0","0"
"4201","0","0","0"
"4217","0","0","0"
"4231","0","0","0"
"4233","0","0","0"
"4238","0","0","0"
"4260","0","0","0"
"4270","0","0","0"
"4278","0","0","0"
"4281","0","0","0"
"4307","0","0","0"
"4316","0","0","0"
"4332","0","0","0"
"4335","0","0","0"
"4342","0","0","0"
"4355","0","0","0"
"4356","0","0","0"
"4359","0","0","0"
"4368","0","0","0"
"4389","0","0","0"
"4392","0","0","0"
"4436","0","0","0"
"4438","0","0","0"
"4439","0","0","0"
"4441","0","0","0"
"4465","0","0","0"
"4480","0","0","0"
"4509","0","0","0"
"4519","0","0","0"
"4521","0","0","0"
"4525","0","0","0"
"4536","0","0","0"
"4539","0","0","0"
"4552","0","0","0"
"4557","0","0","0"
"4559","0","0","0"
"4564","0","0","0"
"4568","0","0","0"
"4570","0","0","0"
"4578","0","0","0"
"4586","0","0","0"
"4590","0","0","0"
"4610","0","0","0"
"4613","0","0","0"
"4616","0","0","0"
"4620","0","0","0"
"4624","0","0","0"
"4626","0","0","0"
"4628","0","0","0"
"4629","0","0","0"
"4651","0","0","0"
"4658","0","0","0"
"4659","0","0","0"
"4668","0","0","0"
"4677","0","0","0"
"4685","0","0","0"
"4693","0","0","0"
"4707","0","0","0"
"4715","0","0","0"
"4717","0","0","0"
"4725","0","0","0"
"4741","0","0","0"
"4748","0","0","0"
"4752","0","0","0"
"4763","0","0","0"
"4769","0","0","0"
"4772","0","0","0"
"4780","0","0","0"
"4784","0","0","0"
"4809","0","0","0"
"4815","0","0","0"
"4819","0","0","0"
"4822","0","0","0"
"4853","0","0","0"
"4869","0","0","0"
"4877","0","0","0"
"4886","0","0","0"
"4893","0","0","0"
"4894","0","0","0"
"4913","0","0","0"
"4925","0","0","0"
"4931","0","0","0"
"4940","0","0","0"
"4952","0","0","0"
"4956","0","0","0"
"4966","0","0","0"
"4973","0","0","0"
"4976","0","0","0"
"4977","0","0","0"
"5006","0","0","0"
"5009","0","0","0"
"5017","0","0","0"
"5034","0","0","0"
"5039","0","0","0"
"5047","0","0","0"
"5078","0","0","0"
"5086","0","0","0"
"5105","0","0","0"
"5125","0","0","0"
"5127","0","0","0"
"5141","0","0","0"
"5146","0","0","0"
"5152","0","0","0"
"5156","0","0","0"
"5171","0","0","0"
"5195","0","0","0"
"5238","0","0","0"
"5245","0","0","0"
"5247","0","0","0"
"5257","0","0","0"
"5284","0","0","0"
"5287","0","0","0"
"5302","0","0","0"
"5303","0","0","0"
"5322","0","0","0"
"5328","0","0","0"
"5352","0","0","0"
"5356","0","0","0"
"5384","0","0","0"
"5386","0","0","0"
"5407","0","0","0"
"5424","0","0","0"
"5441","0","0","0"
"5442","0","0","0"
"5444","0","0","0"
"5457","0","0","0"
"5466","0","0","0"
"5479","0","0","0"
"5484","0","0","0"
"5498","0","0","0"
"5521","0","0","0"
"5532","0","0","0"
"5551","0","0","0"
"5557","0","0","0"
"5560","0","0","0"
"5563","0","0","0"
"5576","0","0","0"
"5578","0","0","0"
"5596","0","0","0"
"5601","0","0","0"
"5607","0","0","0"
