"Step","DDQN_good_disc - win","non_det_DDQN_run_1747653794 - win__MIN","non_det_DDQN_run_1747653794 - win__MAX"
"1476","0","0","0"
"1494","0","0","0"
"1503","0","0","0"
"1519","0","0","0"
"1524","0","0","0"
"1527","0","0","0"
"1532","1","1","1"
"1537","0","0","0"
"1539","0","0","0"
"1545","0","0","0"
"1546","0","0","0"
"1548","0","0","0"
"1552","0","0","0"
"1555","0","0","0"
"1556","0","0","0"
"1557","0","0","0"
"1559","0","0","0"
"1562","0","0","0"
"1565","0","0","0"
"1568","0","0","0"
"1575","0","0","0"
"1578","0","0","0"
"1586","0","0","0"
"1592","0","0","0"
"1594","0","0","0"
"1596","0","0","0"
"1597","0","0","0"
"1603","0","0","0"
"1610","0","0","0"
"1618","0","0","0"
"1628","0","0","0"
"1630","0","0","0"
"1634","0","0","0"
"1642","0","0","0"
"1643","0","0","0"
"1653","0","0","0"
"1656","0","0","0"
"1658","0","0","0"
"1659","0","0","0"
"1671","0","0","0"
"1673","0","0","0"
"1678","0","0","0"
"1680","0","0","0"
"1682","0","0","0"
"1686","0","0","0"
"1691","0","0","0"
"1696","0","0","0"
"1697","0","0","0"
"1698","0","0","0"
"1716","0","0","0"
"1718","0","0","0"
"1724","0","0","0"
"1726","0","0","0"
"1733","0","0","0"
"1736","0","0","0"
"1742","0","0","0"
"1745","0","0","0"
"1759","0","0","0"
"1763","0","0","0"
"1771","0","0","0"
"1774","0","0","0"
"1779","0","0","0"
"1781","0","0","0"
"1784","0","0","0"
"1796","0","0","0"
"1804","0","0","0"
"1807","0","0","0"
"1810","0","0","0"
"1811","0","0","0"
"1815","0","0","0"
"1817","0","0","0"
"1820","0","0","0"
"1822","0","0","0"
"1833","0","0","0"
"1835","0","0","0"
"1840","0","0","0"
"1845","0","0","0"
"1847","0","0","0"
"1854","0","0","0"
"1859","0","0","0"
"1860","0","0","0"
"1866","0","0","0"
"1888","0","0","0"
"1891","0","0","0"
"1899","0","0","0"
"1901","0","0","0"
"1907","0","0","0"
"1908","0","0","0"
"1911","0","0","0"
"1913","0","0","0"
"1916","0","0","0"
"1920","0","0","0"
"1931","0","0","0"
"1940","0","0","0"
"1943","0","0","0"
"1944","0","0","0"
"1947","0","0","0"
"1949","0","0","0"
"1952","0","0","0"
"1956","0","0","0"
"1959","0","0","0"
"1969","0","0","0"
"1971","0","0","0"
"1975","0","0","0"
"1977","0","0","0"
"1978","0","0","0"
"1983","0","0","0"
"1984","0","0","0"
"1988","0","0","0"
"1991","0","0","0"
"1999","0","0","0"
"2005","0","0","0"
"2010","0","0","0"
"2012","0","0","0"
"2013","0","0","0"
"2022","0","0","0"
"2027","0","0","0"
"2039","0","0","0"
"2041","0","0","0"
"2042","0","0","0"
"2050","0","0","0"
"2060","0","0","0"
"2066","0","0","0"
"2070","0","0","0"
"2083","0","0","0"
"2093","0","0","0"
"2103","0","0","0"
"2114","0","0","0"
"2122","0","0","0"
"2127","0","0","0"
"2130","0","0","0"
"2132","0","0","0"
"2133","0","0","0"
"2136","0","0","0"
"2142","0","0","0"
"2148","0","0","0"
"2165","0","0","0"
"2169","0","0","0"
"2173","0","0","0"
"2178","0","0","0"
"2182","0","0","0"
"2199","0","0","0"
"2203","0","0","0"
"2204","0","0","0"
"2212","0","0","0"
"2219","0","0","0"
"2222","0","0","0"
"2226","0","0","0"
"2227","0","0","0"
"2229","0","0","0"
"2232","0","0","0"
"2238","0","0","0"
"2245","0","0","0"
"2246","0","0","0"
"2252","0","0","0"
"2258","0","0","0"
"2259","0","0","0"
"2264","0","0","0"
"2267","0","0","0"
"2274","0","0","0"
"2275","0","0","0"
"2277","0","0","0"
"2296","0","0","0"
"2303","0","0","0"
"2305","0","0","0"
"2311","0","0","0"
"2333","0","0","0"
"2334","0","0","0"
"2340","0","0","0"
"2342","0","0","0"
"2350","0","0","0"
"2353","0","0","0"
"2358","0","0","0"
"2373","0","0","0"
"2379","0","0","0"
"2381","0","0","0"
"2384","0","0","0"
"2388","0","0","0"
"2391","0","0","0"
"2392","0","0","0"
"2398","0","0","0"
"2399","0","0","0"
"2403","0","0","0"
"2406","0","0","0"
"2411","0","0","0"
"2421","0","0","0"
"2425","0","0","0"
"2429","0","0","0"
"2433","0","0","0"
"2436","0","0","0"
"2446","0","0","0"
"2448","0","0","0"
"2450","0","0","0"
"2451","0","0","0"
"2452","0","0","0"
"2456","0","0","0"
"2460","0","0","0"
"2462","0","0","0"
"2468","0","0","0"
"2478","0","0","0"
"2479","0","0","0"
"2481","0","0","0"
"2483","0","0","0"
"2485","0","0","0"
"2491","0","0","0"
"2492","0","0","0"
"2495","0","0","0"
"2500","0","0","0"
"2505","0","0","0"
"2508","0","0","0"
"2509","0","0","0"
"2511","0","0","0"
"2525","0","0","0"
"2527","0","0","0"
"2529","0","0","0"
"2530","0","0","0"
"2544","0","0","0"
"2547","0","0","0"
"2548","0","0","0"
"2554","0","0","0"
"2555","0","0","0"
"2565","0","0","0"
"2566","0","0","0"
"2571","0","0","0"
"2576","0","0","0"
"2587","0","0","0"
"2592","0","0","0"
"2599","0","0","0"
"2621","0","0","0"
"2624","0","0","0"
"2626","0","0","0"
"2628","0","0","0"
"2631","0","0","0"
"2632","0","0","0"
"2636","0","0","0"
