episode,train_reward,win,roll_mean,roll_std,roll_win
272,5.0,0,,,
273,-2.0,0,,,
274,2.0,0,,,
275,1.0,0,,,
276,-2.0,0,,,
277,-2.0,0,,,
278,-1.0,0,,,
279,-2.0,0,,,
280,0.0,0,,,
281,1.0,0,,,
282,0.0,0,,,
283,-2.0,0,,,
284,-2.0,0,,,
285,-1.0,0,,,
286,-1.0,0,,,
287,-2.0,0,,,
288,-2.0,0,,,
289,-1.0,0,,,
290,-2.0,0,,,
291,0.0,0,,,
292,5.0,0,,,
293,0.0,0,,,
294,-2.0,0,,,
295,-2.0,0,,,
296,1.0,0,,,
297,-2.0,0,,,
298,0.0,0,,,
299,-2.0,0,,,
300,1.0,0,,,
301,-2.0,0,,,
302,-2.0,0,,,
303,-1.0,0,,,
304,7.0,0,,,
305,-2.0,0,,,
306,0.0,0,,,
307,-2.0,0,,,
308,-1.0,0,,,
309,-1.0,0,,,
310,-1.0,0,,,
311,0.0,0,,,
312,-2.0,0,,,
313,-1.0,0,,,
314,-2.0,0,,,
315,-1.0,0,,,
316,0.0,0,,,
317,-2.0,0,,,
318,-1.0,0,,,
319,-2.0,0,,,
320,-2.0,0,,,
321,-1.0,0,,,
322,-2.0,0,,,
323,-2.0,0,,,
324,0.0,0,,,
325,-2.0,0,,,
326,-2.0,0,,,
327,3.0,0,,,
328,-1.0,0,,,
329,-1.0,0,,,
330,-1.0,0,,,
331,1.0,0,,,
332,-1.0,0,,,
333,0.0,0,,,
334,7.0,0,,,
335,-1.0,0,,,
336,-2.0,0,,,
337,-2.0,0,,,
338,-2.0,0,,,
339,3.0,0,,,
340,-2.0,0,,,
341,-2.0,0,,,
342,0.0,0,,,
343,-2.0,0,,,
344,-2.0,0,,,
345,1.0,0,,,
346,-2.0,0,,,
347,-2.0,0,,,
348,6.0,0,,,
349,1.0,0,,,
350,-2.0,0,,,
351,-2.0,0,,,
352,-2.0,0,,,
353,1.0,0,,,
354,-1.0,0,,,
355,1.0,0,,,
356,-2.0,0,,,
357,-1.0,0,,,
358,0.0,0,,,
359,-1.0,0,,,
360,-2.0,0,,,
361,-2.0,0,,,
362,-2.0,0,,,
363,-1.0,0,,,
364,1.0,0,,,
365,-2.0,0,,,
366,0.0,0,,,
367,-2.0,0,,,
368,-2.0,0,,,
369,0.0,0,,,
370,-1.0,0,,,
371,-2.0,0,,,
372,-2.0,0,,,
373,-2.0,0,,,
374,-1.0,0,,,
375,-2.0,0,,,
376,-2.0,0,,,
377,0.0,0,,,
378,-1.0,0,,,
379,-1.0,0,,,
380,0.0,0,,,
381,-1.0,0,,,
382,0.0,0,,,
383,-2.0,0,,,
384,14.0,0,,,
385,-2.0,0,,,
386,2.0,0,,,
387,-1.0,0,,,
388,-2.0,0,,,
389,-2.0,0,,,
390,0.0,0,,,
391,-2.0,0,,,
392,-1.0,0,,,
393,-1.0,0,,,
394,-2.0,0,,,
395,-1.0,0,,,
396,0.0,0,,,
397,-1.0,0,,,
398,-2.0,0,,,
399,-2.0,0,,,
400,2.0,0,,,
401,-2.0,0,,,
402,3.0,0,,,
403,-2.0,0,,,
404,0.0,0,,,
405,-2.0,0,,,
406,-2.0,0,,,
407,-1.0,0,,,
408,-1.0,0,,,
409,0.0,0,,,
410,-1.0,0,,,
411,-2.0,0,,,
412,4.0,0,,,
413,-1.0,0,,,
414,-2.0,0,,,
415,1.0,0,,,
416,-1.0,0,,,
417,-2.0,0,,,
418,-1.0,0,,,
419,0.0,0,,,
420,-1.0,0,,,
421,-2.0,0,,,
422,-1.0,0,,,
423,-2.0,0,,,
424,-1.0,0,,,
425,2.0,0,,,
426,-1.0,0,,,
427,-2.0,0,,,
428,-1.0,0,,,
429,2.0,0,,,
430,-1.0,0,,,
431,-2.0,0,,,
432,-2.0,0,,,
433,-2.0,0,,,
434,-2.0,0,,,
435,-2.0,0,,,
436,-1.0,0,,,
437,-2.0,0,,,
438,-2.0,0,,,
439,-2.0,0,,,
440,-1.0,0,,,
441,0.0,0,,,
442,0.0,0,,,
443,-2.0,0,,,
444,0.0,0,,,
445,-1.0,0,,,
446,-1.0,0,,,
447,-2.0,0,,,
448,-2.0,0,,,
449,-1.0,0,,,
450,-2.0,0,,,
451,16.0,1,,,
452,0.0,0,,,
453,0.0,0,,,
454,-1.0,0,,,
455,-2.0,0,,,
456,6.0,0,,,
457,0.0,0,,,
458,-2.0,0,,,
459,-2.0,0,,,
460,-2.0,0,,,
461,-1.0,0,,,
462,3.0,0,,,
463,1.0,0,,,
464,-2.0,0,,,
465,-1.0,0,,,
466,-1.0,0,,,
467,-2.0,0,,,
468,1.0,0,,,
469,0.0,0,,,
470,-1.0,0,,,
471,-2.0,0,,,
472,3.0,0,,,
473,-2.0,0,,,
474,-2.0,0,,,
475,-1.0,0,,,
476,-2.0,0,,,
477,0.0,0,,,
478,-2.0,0,,,
479,-2.0,0,,,
480,-1.0,0,,,
481,-1.0,0,,,
482,-2.0,0,,,
