"Step","DQN_good_disc - total_reward","non_Det_DQN_discounted_run_1747653690 - total_reward__MIN","non_Det_DQN_discounted_run_1747653690 - total_reward__MAX"
"12484","0","0","0"
"12491","-2","-2","-2"
"12497","2","2","2"
"12498","-1","-1","-1"
"12504","15","15","15"
"12509","1","1","1"
"12510","19","19","19"
"12513","11","11","11"
"12550","-1","-1","-1"
"12559","7","7","7"
"12562","-1","-1","-1"
"12570","-2","-2","-2"
"12586","0","0","0"
"12594","0","0","0"
"12595","0","0","0"
"12598","-2","-2","-2"
"12600","1","1","1"
"12603","-1","-1","-1"
"12611","1","1","1"
"12613","0","0","0"
"12621","0","0","0"
"12622","8","8","8"
"12624","-2","-2","-2"
"12626","1","1","1"
"12631","0","0","0"
"12636","19","19","19"
"12641","0","0","0"
"12642","1","1","1"
"12644","0","0","0"
"12654","2","2","2"
"12658","1","1","1"
"12660","-1","-1","-1"
"12663","5","5","5"
"12665","-1","-1","-1"
"12666","0","0","0"
"12668","-2","-2","-2"
"12670","-1","-1","-1"
"12671","6","6","6"
"12673","2","2","2"
"12678","-2","-2","-2"
"12679","5","5","5"
"12680","-2","-2","-2"
"12682","2","2","2"
"12695","-1","-1","-1"
"12711","0","0","0"
"12716","1","1","1"
"12718","-1","-1","-1"
"12722","3","3","3"
"12725","1","1","1"
"12731","0","0","0"
"12736","0","0","0"
"12738","-1","-1","-1"
"12748","1","1","1"
"12749","2","2","2"
"12750","1","1","1"
"12756","-1","-1","-1"
"12772","-1","-1","-1"
"12773","3","3","3"
"12774","-1","-1","-1"
"12785","-1","-1","-1"
"12787","2","2","2"
"12788","-2","-2","-2"
"12796","-2","-2","-2"
"12802","0","0","0"
"12821","-2","-2","-2"
"12826","-1","-1","-1"
"12827","7","7","7"
"12835","5","5","5"
"12841","-1","-1","-1"
"12849","1","1","1"
"12852","-1","-1","-1"
"12859","-1","-1","-1"
"12865","-1","-1","-1"
"12867","2","2","2"
"12868","0","0","0"
"12869","-1","-1","-1"
"12886","10","10","10"
"12887","-1","-1","-1"
"12898","-1","-1","-1"
"12907","5","5","5"
"12917","-1","-1","-1"
"12923","4","4","4"
"12924","3","3","3"
"12927","0","0","0"
"12932","1","1","1"
"12934","17","17","17"
"12937","7","7","7"
"12945","-1","-1","-1"
"12947","-2","-2","-2"
"12951","2","2","2"
"12952","0","0","0"
"12953","1","1","1"
"12961","2","2","2"
"12963","-1","-1","-1"
"12967","-2","-2","-2"
"12971","-2","-2","-2"
"12979","3","3","3"
"12983","2","2","2"
"12986","0","0","0"
"12987","3","3","3"
"12989","4","4","4"
"13002","0","0","0"
"13007","6","6","6"
"13017","0","0","0"
"13022","-1","-1","-1"
"13030","-1","-1","-1"
"13035","-2","-2","-2"
"13036","2","2","2"
"13044","3","3","3"
"13047","3","3","3"
"13052","0","0","0"
"13053","2","2","2"
"13057","-1","-1","-1"
"13065","3","3","3"
"13067","-1","-1","-1"
"13071","-1","-1","-1"
"13078","-1","-1","-1"
"13082","1","1","1"
"13083","1","1","1"
"13090","-1","-1","-1"
"13096","-1","-1","-1"
"13097","17","17","17"
"13098","3","3","3"
"13101","1","1","1"
"13109","-1","-1","-1"
"13110","-1","-1","-1"
"13114","2","2","2"
"13116","1","1","1"
"13118","-2","-2","-2"
"13122","2","2","2"
"13129","-1","-1","-1"
"13137","1","1","1"
"13146","-1","-1","-1"
"13154","3","3","3"
"13158","2","2","2"
"13163","-1","-1","-1"
"13166","3","3","3"
"13171","1","1","1"
"13192","1","1","1"
"13197","0","0","0"
"13198","-2","-2","-2"
"13205","0","0","0"
"13209","-2","-2","-2"
"13220","-1","-1","-1"
"13231","2","2","2"
"13236","-1","-1","-1"
"13246","1","1","1"
"13248","10","10","10"
"13253","0","0","0"
"13257","2","2","2"
"13259","-2","-2","-2"
"13261","-2","-2","-2"
"13278","0","0","0"
"13286","30","30","30"
"13293","-2","-2","-2"
"13295","-2","-2","-2"
"13296","-2","-2","-2"
"13298","-2","-2","-2"
"13300","-2","-2","-2"
"13305","-1","-1","-1"
"13314","6","6","6"
"13318","3","3","3"
"13319","1","1","1"
"13322","3","3","3"
"13326","-1","-1","-1"
"13327","0","0","0"
"13335","2","2","2"
"13337","-1","-1","-1"
"13359","0","0","0"
"13365","6","6","6"
"13367","-1","-1","-1"
"13376","-1","-1","-1"
"13378","2","2","2"
"13384","-2","-2","-2"
"13391","-1","-1","-1"
"13407","1","1","1"
"13413","2","2","2"
"13419","0","0","0"
"13421","1","1","1"
"13428","-1","-1","-1"
"13430","14","14","14"
"13443","0","0","0"
"13449","4","4","4"
"13453","6","6","6"
"13455","-2","-2","-2"
"13456","1","1","1"
"13459","9","9","9"
"13462","9","9","9"
"13464","3","3","3"
"13468","-1","-1","-1"
"13469","10","10","10"
"13470","4","4","4"
"13474","-1","-1","-1"
"13489","-2","-2","-2"
"13491","6","6","6"
"13501","6","6","6"
"13505","2","2","2"
"13508","19","19","19"
"13510","2","2","2"
"13516","0","0","0"
"13523","-2","-2","-2"
"13524","4","4","4"
"13527","6","6","6"
"13531","-1","-1","-1"
"13537","1","1","1"
"13541","10","10","10"
"13543","-1","-1","-1"
"13548","0","0","0"
"13551","1","1","1"
"13554","2","2","2"
"13557","-2","-2","-2"
"13563","-2","-2","-2"
"13564","7","7","7"
"13574","-1","-1","-1"
"13575","9","9","9"
"13576","5","5","5"
"13586","0","0","0"
"13597","9","9","9"
"13609","1","1","1"
"13617","0","0","0"
"13619","4","4","4"
"13620","2","2","2"
"13621","3","3","3"
"13632","1","1","1"
"13646","11","11","11"
"13655","-2","-2","-2"
"13658","6","6","6"
"13666","4","4","4"
"13667","1","1","1"
"13670","5","5","5"
"13671","20","20","20"
"13673","-2","-2","-2"
"13676","0","0","0"
"13679","0","0","0"
"13680","1","1","1"
"13692","3","3","3"
"13694","-2","-2","-2"
"13700","2","2","2"
"13704","-2","-2","-2"
"13720","0","0","0"
"13721","0","0","0"
"13734","2","2","2"
"13736","17","17","17"
"13738","4","4","4"
"13744","4","4","4"
"13750","-1","-1","-1"
"13755","4","4","4"
"13760","9","9","9"
"13774","0","0","0"
"13779","1","1","1"
"13780","-1","-1","-1"
"13784","-1","-1","-1"
"13786","7","7","7"
"13788","17","17","17"
"13791","3","3","3"
"13803","-1","-1","-1"
"13809","-2","-2","-2"
"13813","-1","-1","-1"
"13815","-1","-1","-1"
"13821","9","9","9"
"13822","-1","-1","-1"
"13824","1","1","1"
"13826","10","10","10"
"13839","2","2","2"
"13840","2","2","2"
"13843","-2","-2","-2"
"13846","-1","-1","-1"
"13850","3","3","3"
"13856","0","0","0"
"13859","0","0","0"
"13861","4","4","4"
"13865","8","8","8"
"13868","1","1","1"
"13869","5","5","5"
"13870","11","11","11"
"13876","-2","-2","-2"
"13885","1","1","1"
"13887","2","2","2"
"13889","0","0","0"
"13895","-2","-2","-2"
"13896","0","0","0"
"13898","4","4","4"
"13904","-1","-1","-1"
"13905","5","5","5"
"13921","0","0","0"
"13933","-2","-2","-2"
"13943","17","17","17"
"13948","-2","-2","-2"
"13950","-2","-2","-2"
"13952","3","3","3"
"13953","0","0","0"
"13955","-1","-1","-1"
"13959","9","9","9"
"13961","-2","-2","-2"
"13964","-2","-2","-2"
"13965","0","0","0"
"13967","-2","-2","-2"
"13969","4","4","4"
"13973","-1","-1","-1"
"13980","3","3","3"
"13988","-1","-1","-1"
"13997","-2","-2","-2"
"14000","-2","-2","-2"
"14025","-1","-1","-1"
"14047","5","5","5"
"14050","-2","-2","-2"
"14061","-2","-2","-2"
"14068","-1","-1","-1"
"14070","-2","-2","-2"
"14078","6","6","6"
"14093","-1","-1","-1"
"14108","0","0","0"
"14109","-1","-1","-1"
"14112","6","6","6"
"14113","4","4","4"
"14120","-1","-1","-1"
"14147","2","2","2"
"14153","5","5","5"
"14154","1","1","1"
"14156","2","2","2"
"14157","-1","-1","-1"
"14158","-1","-1","-1"
"14164","-2","-2","-2"
"14166","0","0","0"
"14173","0","0","0"
"14181","-2","-2","-2"
"14183","8","8","8"
"14186","0","0","0"
"14189","-1","-1","-1"
"14192","7","7","7"
"14204","-2","-2","-2"
"14205","-2","-2","-2"
"14219","2","2","2"
"14222","0","0","0"
"14226","-2","-2","-2"
"14229","1","1","1"
"14230","-1","-1","-1"
"14231","2","2","2"
"14232","7","7","7"
"14240","-1","-1","-1"
"14245","-2","-2","-2"
"14247","0","0","0"
"14251","-2","-2","-2"
"14253","1","1","1"
"14264","-1","-1","-1"
"14297","4","4","4"
"14300","3","3","3"
"14304","2","2","2"
"14305","1","1","1"
"14308","18","18","18"
"14310","-2","-2","-2"
"14312","3","3","3"
"14316","-1","-1","-1"
"14325","17","17","17"
"14330","-1","-1","-1"
"14334","-2","-2","-2"
"14336","2","2","2"
"14337","1","1","1"
"14354","4","4","4"
"14364","0","0","0"
"14371","3","3","3"
"14374","11","11","11"
"14378","-1","-1","-1"
"14379","0","0","0"
"14386","4","4","4"
"14395","0","0","0"
"14396","-1","-1","-1"
"14400","1","1","1"
"14402","1","1","1"
"14403","-2","-2","-2"
"14407","0","0","0"
"14412","-2","-2","-2"
"14416","1","1","1"
"14418","5","5","5"
"14420","-2","-2","-2"
"14421","-1","-1","-1"
"14422","-1","-1","-1"
"14424","-2","-2","-2"
"14425","0","0","0"
"14427","0","0","0"
"14428","3","3","3"
"14431","4","4","4"
"14433","-2","-2","-2"
"14439","0","0","0"
"14449","3","3","3"
"14458","-2","-2","-2"
"14462","-1","-1","-1"
"14466","4","4","4"
"14470","-2","-2","-2"
"14474","6","6","6"
"14481","7","7","7"
"14486","4","4","4"
"14487","-2","-2","-2"
"14490","1","1","1"
"14494","5","5","5"
"14517","-1","-1","-1"
"14520","-1","-1","-1"
"14534","0","0","0"
"14541","-1","-1","-1"
"14542","2","2","2"
"14543","7","7","7"
"14544","1","1","1"
"14552","15","15","15"
"14556","-1","-1","-1"
"14559","-1","-1","-1"
"14568","2","2","2"
"14570","8","8","8"
"14576","5","5","5"
"14577","1","1","1"
"14580","2","2","2"
"14582","2","2","2"
"14583","0","0","0"
"14588","0","0","0"
"14590","1","1","1"
"14596","3","3","3"
"14599","6","6","6"
"14608","-2","-2","-2"
"14613","3","3","3"
"14614","2","2","2"
"14616","13","13","13"
"14620","-1","-1","-1"
"14623","3","3","3"
"14624","-2","-2","-2"
"14625","2","2","2"
"14633","1","1","1"
"14634","0","0","0"
"14636","8","8","8"
"14640","-1","-1","-1"
"14642","5","5","5"
"14650","-1","-1","-1"
"14661","-2","-2","-2"
"14663","-2","-2","-2"
"14669","-2","-2","-2"
"14675","0","0","0"
"14686","0","0","0"
"14699","26","26","26"
"14713","2","2","2"
"14714","1","1","1"
"14723","5","5","5"
"14724","2","2","2"
"14725","0","0","0"
"14729","5","5","5"
"14731","0","0","0"
"14733","-1","-1","-1"
"14735","0","0","0"
"14749","9","9","9"
"14752","0","0","0"
"14756","0","0","0"
"14764","1","1","1"
"14765","1","1","1"
"14778","0","0","0"
"14781","11","11","11"
"14783","2","2","2"
"14791","-2","-2","-2"
"14793","-2","-2","-2"
"14800","7","7","7"
"14811","8","8","8"
"14813","1","1","1"
"14820","-1","-1","-1"
"14821","1","1","1"
"14829","-2","-2","-2"
"14835","1","1","1"
"14838","1","1","1"
"14841","16","16","16"
"14848","4","4","4"
"14849","-2","-2","-2"
"14860","11","11","11"
"14866","3","3","3"
"14868","0","0","0"
"14873","19","19","19"
"14888","-1","-1","-1"
"14890","8","8","8"
"14915","-2","-2","-2"
"14923","1","1","1"
"14926","6","6","6"
"14933","-1","-1","-1"
"14945","17","17","17"
"14951","-2","-2","-2"
"14953","0","0","0"
"14954","6","6","6"
"14959","6","6","6"
"14963","0","0","0"
"14964","-1","-1","-1"
"14975","-1","-1","-1"
"14976","-2","-2","-2"
"14983","0","0","0"
"14984","2","2","2"
"14988","1","1","1"
"14990","-1","-1","-1"
"14991","7","7","7"
"14999","5","5","5"
"15002","2","2","2"
"15004","5","5","5"
"15010","3","3","3"
"15013","1","1","1"
"15018","-1","-1","-1"
"15024","2","2","2"
"15027","-2","-2","-2"
"15039","18","18","18"
"15048","-2","-2","-2"
"15051","0","0","0"
"15052","0","0","0"
"15053","-2","-2","-2"
"15055","-1","-1","-1"
"15058","3","3","3"
"15061","-2","-2","-2"
"15066","-2","-2","-2"
"15068","2","2","2"
"15072","3","3","3"
"15084","-2","-2","-2"
"15092","0","0","0"
"15093","-1","-1","-1"
"15099","6","6","6"
"15102","0","0","0"
"15112","-1","-1","-1"
"15117","-2","-2","-2"
"15131","-1","-1","-1"
"15135","8","8","8"
"15136","2","2","2"
"15137","6","6","6"
"15140","-1","-1","-1"
"15144","0","0","0"
"15145","1","1","1"
"15146","2","2","2"
"15161","-2","-2","-2"
"15166","4","4","4"
"15168","2","2","2"
"15169","0","0","0"
"15179","2","2","2"
"15181","17","17","17"
"15183","4","4","4"
"15190","-2","-2","-2"
"15208","-1","-1","-1"
"15209","1","1","1"
"15210","6","6","6"
"15211","-1","-1","-1"
"15216","-1","-1","-1"
"15217","2","2","2"
"15218","-1","-1","-1"
"15220","-2","-2","-2"
"15221","4","4","4"
"15222","7","7","7"
"15223","17","17","17"
"15224","8","8","8"
"15228","-2","-2","-2"
"15244","0","0","0"
"15256","0","0","0"
"15259","5","5","5"
"15261","0","0","0"
"15262","3","3","3"
"15265","-2","-2","-2"
"15267","0","0","0"
"15271","0","0","0"
"15280","0","0","0"
"15295","8","8","8"
"15296","6","6","6"
"15297","1","1","1"
"15298","-1","-1","-1"
"15300","-2","-2","-2"
"15302","1","1","1"
"15304","4","4","4"
"15313","18","18","18"
"15314","1","1","1"
"15319","15","15","15"
"15334","9","9","9"
"15335","-1","-1","-1"
"15337","5","5","5"
"15338","4","4","4"
"15339","-1","-1","-1"
"15341","3","3","3"
"15348","2","2","2"
"15349","-1","-1","-1"
"15366","-2","-2","-2"
"15368","1","1","1"
"15372","0","0","0"
"15375","1","1","1"
"15377","1","1","1"
"15379","21","21","21"
"15382","2","2","2"
"15385","-1","-1","-1"
"15393","-2","-2","-2"
"15396","0","0","0"
"15401","2","2","2"
"15402","2","2","2"
"15405","-2","-2","-2"
"15409","0","0","0"
"15416","9","9","9"
"15421","1","1","1"
"15422","8","8","8"
"15427","8","8","8"
"15430","0","0","0"
"15435","0","0","0"
"15436","-2","-2","-2"
"15437","-1","-1","-1"
"15446","3","3","3"
"15447","5","5","5"
"15466","-2","-2","-2"
"15473","4","4","4"
"15475","1","1","1"
"15482","4","4","4"
"15487","2","2","2"
"15488","-2","-2","-2"
"15489","0","0","0"
"15490","1","1","1"
"15497","-1","-1","-1"
"15501","0","0","0"
"15503","2","2","2"
"15508","2","2","2"
"15509","4","4","4"
"15512","0","0","0"
"15513","7","7","7"
"15516","1","1","1"
"15518","4","4","4"
"15520","7","7","7"
"15522","-2","-2","-2"
"15533","4","4","4"
"15537","7","7","7"
"15545","6","6","6"
"15547","-2","-2","-2"
"15548","0","0","0"
"15551","7","7","7"
"15558","-2","-2","-2"
"15564","6","6","6"
"15571","1","1","1"
"15584","5","5","5"
"15590","3","3","3"
"15591","7","7","7"
"15596","6","6","6"
"15597","4","4","4"
"15606","-2","-2","-2"
"15608","-1","-1","-1"
"15628","0","0","0"
"15631","-1","-1","-1"
"15633","2","2","2"
"15635","-2","-2","-2"
"15638","5","5","5"
"15643","2","2","2"
"15653","-2","-2","-2"
"15658","4","4","4"
"15659","0","0","0"
"15661","4","4","4"
"15662","2","2","2"
"15663","0","0","0"
"15664","12","12","12"
"15665","3","3","3"
"15668","3","3","3"
"15670","-1","-1","-1"
"15671","0","0","0"
"15680","-2","-2","-2"
"15688","-2","-2","-2"
"15696","0","0","0"
"15708","1","1","1"
"15712","4","4","4"
"15713","7","7","7"
"15714","-1","-1","-1"
"15720","-1","-1","-1"
"15722","6","6","6"
"15729","10","10","10"
"15736","-1","-1","-1"
"15745","-2","-2","-2"
"15746","17","17","17"
"15749","-2","-2","-2"
"15757","3","3","3"
"15766","1","1","1"
"15768","7","7","7"
"15769","2","2","2"
"15782","-1","-1","-1"
"15783","5","5","5"
"15786","4","4","4"
"15787","5","5","5"
"15789","2","2","2"
"15790","-2","-2","-2"
"15794","-1","-1","-1"
"15796","0","0","0"
"15801","-1","-1","-1"
"15802","2","2","2"
"15818","-2","-2","-2"
"15821","0","0","0"
"15825","2","2","2"
"15827","1","1","1"
"15828","3","3","3"
"15831","1","1","1"
"15832","1","1","1"
"15835","3","3","3"
"15843","1","1","1"
"15845","-1","-1","-1"
"15847","-2","-2","-2"
"15852","0","0","0"
"15854","21","21","21"
"15856","0","0","0"
"15862","1","1","1"
"15872","-1","-1","-1"
"15882","12","12","12"
"15901","-1","-1","-1"
"15914","4","4","4"
"15920","0","0","0"
"15925","3","3","3"
"15926","6","6","6"
"15932","4","4","4"
"15934","-1","-1","-1"
"15937","-2","-2","-2"
"15941","5","5","5"
"15944","1","1","1"
"15947","3","3","3"
"15951","0","0","0"
"15957","-2","-2","-2"
"15962","0","0","0"
"15967","0","0","0"
"15971","2","2","2"
"15972","3","3","3"
"15982","6","6","6"
"15984","29","29","29"
"15990","3","3","3"
"15994","-2","-2","-2"
"15997","-2","-2","-2"
"16007","2","2","2"
"16015","0","0","0"
"16016","3","3","3"
"16024","5","5","5"
"16025","4","4","4"
"16026","-2","-2","-2"
"16046","5","5","5"
"16048","-2","-2","-2"
"16050","4","4","4"
"16052","-1","-1","-1"
"16064","0","0","0"
"16069","-1","-1","-1"
"16077","2","2","2"
"16081","-2","-2","-2"
"16082","-2","-2","-2"
"16090","5","5","5"
"16099","6","6","6"
"16101","22","22","22"
"16102","6","6","6"
"16108","4","4","4"
"16119","1","1","1"
"16129","0","0","0"
"16133","-2","-2","-2"
"16139","4","4","4"
"16147","22","22","22"
"16153","4","4","4"
"16162","6","6","6"
"16166","1","1","1"
"16168","4","4","4"
"16171","0","0","0"
"16174","11","11","11"
"16176","-2","-2","-2"
"16180","5","5","5"
"16181","2","2","2"
"16183","-1","-1","-1"
"16191","1","1","1"
"16198","-1","-1","-1"
"16203","10","10","10"
"16208","5","5","5"
"16215","0","0","0"
"16217","-1","-1","-1"
"16231","2","2","2"
"16233","2","2","2"
"16234","3","3","3"
"16235","12","12","12"
"16241","-1","-1","-1"
"16247","-1","-1","-1"
"16260","2","2","2"
"16265","2","2","2"
"16266","-1","-1","-1"
"16273","1","1","1"
"16278","2","2","2"
"16283","11","11","11"
"16286","-1","-1","-1"
"16289","6","6","6"
"16290","-2","-2","-2"
"16294","8","8","8"
"16297","1","1","1"
"16299","1","1","1"
"16314","0","0","0"
"16317","3","3","3"
"16318","1","1","1"
"16336","-2","-2","-2"
"16338","-1","-1","-1"
"16339","-2","-2","-2"
"16349","0","0","0"
"16350","1","1","1"
"16351","1","1","1"
"16356","-1","-1","-1"
"16359","-2","-2","-2"
"16361","12","12","12"
"16364","1","1","1"
"16366","0","0","0"
"16375","1","1","1"
"16376","-1","-1","-1"
"16377","9","9","9"
"16378","-2","-2","-2"
"16381","0","0","0"
"16390","4","4","4"
"16398","18","18","18"
"16411","12","12","12"
"16413","-2","-2","-2"
"16416","25","25","25"
"16420","3","3","3"
"16424","-1","-1","-1"
"16430","0","0","0"
"16431","7","7","7"
"16434","9","9","9"
"16435","7","7","7"
"16447","7","7","7"
"16452","-2","-2","-2"
"16455","6","6","6"
"16462","-2","-2","-2"
"16469","9","9","9"
"16474","-1","-1","-1"
"16479","-1","-1","-1"
"16489","8","8","8"
"16507","10","10","10"
"16519","0","0","0"
"16521","-1","-1","-1"
"16523","-1","-1","-1"
"16527","0","0","0"
"16531","-2","-2","-2"
"16532","1","1","1"
"16533","-1","-1","-1"
"16534","6","6","6"
"16539","-2","-2","-2"
"16541","-2","-2","-2"
"16542","3","3","3"
"16544","0","0","0"
"16547","-2","-2","-2"
"16550","1","1","1"
"16554","3","3","3"
"16559","2","2","2"
"16563","4","4","4"
"16567","20","20","20"
"16574","4","4","4"
"16575","1","1","1"
"16579","2","2","2"
"16585","1","1","1"
"16608","3","3","3"
"16612","-1","-1","-1"
"16618","2","2","2"
"16631","0","0","0"
"16635","1","1","1"
"16636","-2","-2","-2"
"16643","9","9","9"
"16646","-1","-1","-1"
"16648","-2","-2","-2"
"16649","1","1","1"
"16653","-2","-2","-2"
"16657","12","12","12"
"16658","9","9","9"
"16666","2","2","2"
"16672","5","5","5"
"16674","2","2","2"
"16675","0","0","0"
"16680","4","4","4"
"16681","6","6","6"
"16686","3","3","3"
"16691","3","3","3"
"16704","1","1","1"
"16705","12","12","12"
"16708","24","24","24"
"16710","7","7","7"
"16712","8","8","8"
"16717","-2","-2","-2"
"16718","3","3","3"
"16719","-1","-1","-1"
"16720","4","4","4"
"16728","10","10","10"
"16730","0","0","0"
"16731","-2","-2","-2"
"16738","7","7","7"
"16749","-1","-1","-1"
"16750","0","0","0"
"16756","0","0","0"
"16759","4","4","4"
"16760","3","3","3"
"16763","6","6","6"
"16764","2","2","2"
"16767","-2","-2","-2"
"16788","0","0","0"
"16794","0","0","0"
"16806","9","9","9"
"16819","-1","-1","-1"
"16829","6","6","6"
"16831","6","6","6"
"16833","1","1","1"
"16834","3","3","3"
"16839","6","6","6"
"16842","-1","-1","-1"
"16843","0","0","0"
"16846","0","0","0"
"16850","2","2","2"
"16851","-2","-2","-2"
"16862","-2","-2","-2"
"16869","2","2","2"
"16870","2","2","2"
"16873","4","4","4"
"16876","-1","-1","-1"
"16877","13","13","13"
"16879","-1","-1","-1"
"16881","-2","-2","-2"
"16887","6","6","6"
"16896","11","11","11"
"16897","5","5","5"
"16905","7","7","7"
"16906","8","8","8"
"16910","7","7","7"
"16913","3","3","3"
"16916","4","4","4"
"16926","34","34","34"
"16929","-2","-2","-2"
"16932","0","0","0"
"16936","6","6","6"
"16938","26","26","26"
"16940","21","21","21"
"16948","0","0","0"
"16961","8","8","8"
"16968","3","3","3"
"16971","0","0","0"
"16976","-2","-2","-2"
"16982","-2","-2","-2"
"16990","0","0","0"
"16998","0","0","0"
"17004","-1","-1","-1"
"17005","-1","-1","-1"
"17014","6","6","6"
"17017","0","0","0"
"17019","1","1","1"
"17045","-2","-2","-2"
"17058","1","1","1"
"17066","0","0","0"
"17067","-1","-1","-1"
"17069","8","8","8"
"17070","4","4","4"
"17073","0","0","0"
"17075","1","1","1"
"17078","5","5","5"
"17085","0","0","0"
"17090","-1","-1","-1"
"17093","3","3","3"
"17101","0","0","0"
"17107","-1","-1","-1"
"17113","3","3","3"
"17115","0","0","0"
"17123","0","0","0"
"17124","6","6","6"
"17129","0","0","0"
"17132","1","1","1"
"17135","5","5","5"
"17146","0","0","0"
"17150","5","5","5"
"17158","5","5","5"
"17159","4","4","4"
"17164","5","5","5"
"17166","0","0","0"
"17170","0","0","0"
"17172","3","3","3"
"17174","3","3","3"
"17184","7","7","7"
"17191","22","22","22"
"17194","-1","-1","-1"
"17205","4","4","4"
"17206","9","9","9"
"17211","22","22","22"
"17212","1","1","1"
"17215","-2","-2","-2"
"17219","4","4","4"
"17220","-2","-2","-2"
"17225","-2","-2","-2"
"17227","28","28","28"
"17228","13","13","13"
"17230","7","7","7"
"17251","0","0","0"
"17259","1","1","1"
"17266","6","6","6"
"17270","6","6","6"
"17273","18","18","18"
"17274","-1","-1","-1"
"17278","0","0","0"
"17280","9","9","9"
"17281","19","19","19"
"17283","8","8","8"
"17289","-1","-1","-1"
"17290","-1","-1","-1"
"17291","8","8","8"
"17292","1","1","1"
"17297","3","3","3"
"17300","4","4","4"
"17306","1","1","1"
"17311","3","3","3"
"17328","1","1","1"
"17335","0","0","0"
"17343","-2","-2","-2"
"17347","0","0","0"
"17349","3","3","3"
"17359","0","0","0"
"17363","19","19","19"
"17367","4","4","4"
"17368","1","1","1"
"17372","2","2","2"
"17378","-1","-1","-1"
"17382","3","3","3"
"17386","0","0","0"
"17391","6","6","6"
"17403","8","8","8"
"17408","3","3","3"
"17411","0","0","0"
"17415","8","8","8"
"17418","-2","-2","-2"
"17419","-2","-2","-2"
"17422","0","0","0"
"17425","0","0","0"
"17429","-1","-1","-1"
"17436","-2","-2","-2"
"17439","5","5","5"
"17441","-1","-1","-1"
"17443","9","9","9"
"17446","0","0","0"
"17447","-2","-2","-2"
"17449","4","4","4"
"17450","-1","-1","-1"
"17456","17","17","17"
"17462","21","21","21"
"17466","4","4","4"
"17469","0","0","0"
"17472","-2","-2","-2"
"17474","-1","-1","-1"
"17486","0","0","0"
"17491","-1","-1","-1"
"17495","-2","-2","-2"
"17497","-2","-2","-2"
"17499","1","1","1"
"17501","-1","-1","-1"
"17502","1","1","1"
"17506","1","1","1"
"17511","4","4","4"
"17515","-2","-2","-2"
"17519","-1","-1","-1"
"17527","6","6","6"
"17537","3","3","3"
"17540","2","2","2"
"17544","-1","-1","-1"
"17545","2","2","2"
"17549","0","0","0"
"17553","-2","-2","-2"
"17559","25","25","25"
"17561","6","6","6"
"17571","2","2","2"
"17573","0","0","0"
"17586","5","5","5"
"17592","-2","-2","-2"
"17593","1","1","1"
"17594","0","0","0"
"17595","1","1","1"
"17596","2","2","2"
"17601","20","20","20"
"17602","9","9","9"
"17611","2","2","2"
"17621","0","0","0"
"17624","0","0","0"
"17626","3","3","3"
"17627","1","1","1"
"17633","6","6","6"
"17638","-2","-2","-2"
"17639","-1","-1","-1"
"17644","0","0","0"
"17647","4","4","4"
"17650","2","2","2"
"17651","-1","-1","-1"
"17652","-1","-1","-1"
"17660","1","1","1"
"17666","-2","-2","-2"
"17668","8","8","8"
"17672","10","10","10"
"17675","3","3","3"
"17676","0","0","0"
"17677","-2","-2","-2"
"17679","0","0","0"
"17686","-2","-2","-2"
"17699","9","9","9"
"17700","-2","-2","-2"
"17702","-2","-2","-2"
"17704","-2","-2","-2"
"17706","-2","-2","-2"
"17707","0","0","0"
"17711","9","9","9"
"17719","-2","-2","-2"
"17727","-1","-1","-1"
"17729","3","3","3"
"17736","8","8","8"
"17739","-1","-1","-1"
"17741","31","31","31"
"17742","3","3","3"
"17748","-2","-2","-2"
"17753","-1","-1","-1"
"17768","3","3","3"
"17769","0","0","0"
"17773","-2","-2","-2"
"17774","9","9","9"
"17776","10","10","10"
"17787","-1","-1","-1"
"17791","6","6","6"
"17806","-2","-2","-2"
"17807","5","5","5"
"17823","3","3","3"
"17828","0","0","0"
"17832","0","0","0"
"17858","-1","-1","-1"
"17859","-1","-1","-1"
"17864","0","0","0"
"17865","-2","-2","-2"
"17868","8","8","8"
"17869","5","5","5"
"17872","3","3","3"
"17873","2","2","2"
"17874","3","3","3"
"17878","6","6","6"
"17911","6","6","6"
"17912","-1","-1","-1"
"17915","1","1","1"
"17920","-1","-1","-1"
"17922","2","2","2"
"17926","2","2","2"
"17927","-2","-2","-2"
"17934","3","3","3"
"17949","1","1","1"
"17950","2","2","2"
"17951","-1","-1","-1"
"17954","4","4","4"
"17956","4","4","4"
"17958","4","4","4"
"17975","2","2","2"
"17987","0","0","0"
"18012","1","1","1"
"18014","17","17","17"
"18019","1","1","1"
"18020","2","2","2"
"18035","3","3","3"
"18037","8","8","8"
"18038","0","0","0"
"18041","2","2","2"
"18043","-2","-2","-2"
"18049","4","4","4"
"18053","-1","-1","-1"
"18055","-2","-2","-2"
"18061","9","9","9"
"18064","0","0","0"
"18067","3","3","3"
"18068","1","1","1"
"18075","-2","-2","-2"
"18076","11","11","11"
"18079","3","3","3"
"18089","23","23","23"
"18091","2","2","2"
"18095","-2","-2","-2"
"18104","5","5","5"
"18113","-2","-2","-2"
"18115","6","6","6"
"18116","-1","-1","-1"
"18121","3","3","3"
"18122","7","7","7"
"18123","0","0","0"
"18126","4","4","4"
"18128","2","2","2"
"18133","7","7","7"
"18137","0","0","0"
"18139","-2","-2","-2"
"18141","-1","-1","-1"
