"Step","DQN_good_disc - total_reward","non_Det_DQN_discounted_run_1747653690 - total_reward__MIN","non_Det_DQN_discounted_run_1747653690 - total_reward__MAX"
"1244","3","3","3"
"1246","-2","-2","-2"
"1251","-2","-2","-2"
"1255","-2","-2","-2"
"1266","-2","-2","-2"
"1271","-1","-1","-1"
"1275","1","1","1"
"1280","1","1","1"
"1289","-1","-1","-1"
"1296","-1","-1","-1"
"1299","-1","-1","-1"
"1306","1","1","1"
"1313","-1","-1","-1"
"1325","-2","-2","-2"
"1335","-2","-2","-2"
"1341","-2","-2","-2"
"1348","-1","-1","-1"
"1350","-1","-1","-1"
"1356","0","0","0"
"1359","-2","-2","-2"
"1360","-1","-1","-1"
"1361","-2","-2","-2"
"1362","-1","-1","-1"
"1365","-2","-2","-2"
"1369","1","1","1"
"1376","-1","-1","-1"
"1380","-2","-2","-2"
"1388","-2","-2","-2"
"1390","-2","-2","-2"
"1397","-2","-2","-2"
"1399","2","2","2"
"1402","-1","-1","-1"
"1403","-2","-2","-2"
"1405","-1","-1","-1"
"1406","-2","-2","-2"
"1409","-2","-2","-2"
"1419","-1","-1","-1"
"1425","1","1","1"
"1449","-2","-2","-2"
"1460","-2","-2","-2"
"1478","0","0","0"
"1480","-2","-2","-2"
"1486","0","0","0"
"1487","-2","-2","-2"
"1500","-2","-2","-2"
"1501","-1","-1","-1"
"1508","-2","-2","-2"
"1518","1","1","1"
"1528","2","2","2"
"1531","-2","-2","-2"
"1532","-2","-2","-2"
"1535","3","3","3"
"1545","-2","-2","-2"
"1546","0","0","0"
"1547","0","0","0"
"1556","2","2","2"
"1563","-2","-2","-2"
"1564","0","0","0"
"1576","-2","-2","-2"
"1588","2","2","2"
"1594","-1","-1","-1"
"1596","-1","-1","-1"
"1607","-1","-1","-1"
"1617","-1","-1","-1"
"1620","-2","-2","-2"
"1622","-2","-2","-2"
"1627","-2","-2","-2"
"1632","0","0","0"
"1633","-1","-1","-1"
"1638","-2","-2","-2"
"1639","-1","-1","-1"
"1643","0","0","0"
"1650","0","0","0"
"1654","-2","-2","-2"
"1657","0","0","0"
"1666","0","0","0"
"1668","4","4","4"
"1676","1","1","1"
"1677","-2","-2","-2"
"1680","-2","-2","-2"
"1681","1","1","1"
"1684","-2","-2","-2"
"1686","-2","-2","-2"
"1687","-2","-2","-2"
"1688","-1","-1","-1"
"1693","-2","-2","-2"
"1697","0","0","0"
"1699","0","0","0"
"1700","-2","-2","-2"
"1707","-1","-1","-1"
"1710","1","1","1"
"1724","-2","-2","-2"
"1729","0","0","0"
"1732","0","0","0"
"1738","-1","-1","-1"
"1740","-2","-2","-2"
"1744","4","4","4"
"1746","-2","-2","-2"
"1750","0","0","0"
"1756","-2","-2","-2"
"1757","1","1","1"
"1763","-2","-2","-2"
"1764","-1","-1","-1"
"1765","-1","-1","-1"
"1768","-1","-1","-1"
"1775","16","16","16"
"1777","-2","-2","-2"
"1779","-1","-1","-1"
"1780","1","1","1"
"1781","0","0","0"
"1795","-1","-1","-1"
"1798","0","0","0"
"1799","-2","-2","-2"
"1806","-1","-1","-1"
"1810","-2","-2","-2"
"1812","-2","-2","-2"
"1816","-1","-1","-1"
"1822","-1","-1","-1"
"1825","-2","-2","-2"
"1831","2","2","2"
"1847","-1","-1","-1"
"1848","0","0","0"
"1853","-1","-1","-1"
"1854","1","1","1"
"1855","-1","-1","-1"
"1857","1","1","1"
"1860","-1","-1","-1"
"1861","-2","-2","-2"
"1867","-1","-1","-1"
"1870","3","3","3"
"1879","1","1","1"
"1880","-2","-2","-2"
"1885","-1","-1","-1"
"1887","-2","-2","-2"
"1896","-2","-2","-2"
"1897","-2","-2","-2"
"1899","1","1","1"
"1900","-1","-1","-1"
"1903","0","0","0"
"1905","-2","-2","-2"
"1919","-2","-2","-2"
"1922","-1","-1","-1"
"1923","-2","-2","-2"
"1933","-2","-2","-2"
"1937","-2","-2","-2"
"1946","-1","-1","-1"
"1948","-2","-2","-2"
"1956","-1","-1","-1"
"1959","-2","-2","-2"
"1964","-2","-2","-2"
"1972","0","0","0"
"1980","-1","-1","-1"
"1981","-2","-2","-2"
"1983","-2","-2","-2"
"1995","1","1","1"
"2000","0","0","0"
"2003","-2","-2","-2"
"2004","-2","-2","-2"
"2030","-2","-2","-2"
"2032","5","5","5"
"2034","-1","-1","-1"
"2040","-2","-2","-2"
"2045","-2","-2","-2"
"2047","-1","-1","-1"
"2049","-1","-1","-1"
"2050","-2","-2","-2"
"2059","-2","-2","-2"
"2077","-1","-1","-1"
"2082","-2","-2","-2"
"2103","4","4","4"
"2107","-1","-1","-1"
"2109","0","0","0"
"2115","-1","-1","-1"
"2118","-2","-2","-2"
"2139","2","2","2"
"2145","1","1","1"
"2146","-2","-2","-2"
"2153","-2","-2","-2"
"2158","-2","-2","-2"
"2164","2","2","2"
"2183","0","0","0"
"2192","3","3","3"
"2205","-1","-1","-1"
"2206","-2","-2","-2"
"2212","5","5","5"
"2228","-2","-2","-2"
"2229","-2","-2","-2"
"2230","-2","-2","-2"
"2231","0","0","0"
"2246","-2","-2","-2"
"2248","-2","-2","-2"
"2258","-2","-2","-2"
"2260","0","0","0"
"2262","2","2","2"
"2272","-2","-2","-2"
"2276","-1","-1","-1"
"2286","-2","-2","-2"
"2287","0","0","0"
"2292","0","0","0"
"2293","-2","-2","-2"
"2297","-2","-2","-2"
"2307","-2","-2","-2"
"2314","2","2","2"
"2320","1","1","1"
"2336","-1","-1","-1"
"2345","0","0","0"
"2350","-1","-1","-1"
"2351","-1","-1","-1"
"2358","1","1","1"
"2360","3","3","3"
"2361","-2","-2","-2"
"2363","-2","-2","-2"
"2368","-1","-1","-1"
"2372","-2","-2","-2"
"2376","-2","-2","-2"
"2380","-2","-2","-2"
"2385","1","1","1"
"2388","-1","-1","-1"
"2389","-1","-1","-1"
"2390","0","0","0"
"2402","-1","-1","-1"
"2406","3","3","3"
"2408","-1","-1","-1"
"2409","-1","-1","-1"
"2411","-1","-1","-1"
"2414","0","0","0"
"2422","1","1","1"
"2426","-1","-1","-1"
"2427","3","3","3"
"2441","-2","-2","-2"
"2453","-1","-1","-1"
"2454","-1","-1","-1"
"2466","0","0","0"
"2481","3","3","3"
"2485","9","9","9"
"2487","1","1","1"
"2488","2","2","2"
"2490","2","2","2"
"2494","1","1","1"
"2495","1","1","1"
"2499","-2","-2","-2"
"2502","-1","-1","-1"
"2503","2","2","2"
"2518","-2","-2","-2"
"2525","-1","-1","-1"
"2526","-1","-1","-1"
"2533","3","3","3"
