"Step","DQN_good_disc - win","non_Det_DQN_discounted_run_1747653690 - win__MIN","non_Det_DQN_discounted_run_1747653690 - win__MAX"
"1501","0","0","0"
"1505","0","0","0"
"1508","0","0","0"
"1515","0","0","0"
"1518","0","0","0"
"1528","0","0","0"
"1530","0","0","0"
"1532","0","0","0"
"1533","0","0","0"
"1539","0","0","0"
"1556","0","0","0"
"1557","0","0","0"
"1560","0","0","0"
"1562","0","0","0"
"1565","0","0","0"
"1575","0","0","0"
"1577","0","0","0"
"1584","0","0","0"
"1587","0","0","0"
"1592","0","0","0"
"1593","0","0","0"
"1603","0","0","0"
"1605","0","0","0"
"1606","0","0","0"
"1618","0","0","0"
"1621","0","0","0"
"1624","0","0","0"
"1626","0","0","0"
"1627","0","0","0"
"1638","0","0","0"
"1644","0","0","0"
"1645","0","0","0"
"1646","0","0","0"
"1647","0","0","0"
"1649","0","0","0"
"1659","0","0","0"
"1661","0","0","0"
"1669","0","0","0"
"1677","0","0","0"
"1680","0","0","0"
"1683","0","0","0"
"1684","0","0","0"
"1686","0","0","0"
"1694","0","0","0"
"1695","0","0","0"
"1702","0","0","0"
"1712","0","0","0"
"1728","0","0","0"
"1732","0","0","0"
"1737","0","0","0"
"1744","0","0","0"
"1746","0","0","0"
"1747","0","0","0"
"1748","0","0","0"
"1750","0","0","0"
"1762","0","0","0"
"1801","0","0","0"
"1804","0","0","0"
"1809","0","0","0"
"1811","0","0","0"
"1813","0","0","0"
"1815","0","0","0"
"1819","0","0","0"
"1820","0","0","0"
"1822","0","0","0"
"1824","0","0","0"
"1832","0","0","0"
"1837","0","0","0"
"1842","0","0","0"
"1845","0","0","0"
"1848","0","0","0"
"1864","0","0","0"
"1868","0","0","0"
"1869","1","1","1"
"1875","0","0","0"
"1877","0","0","0"
"1883","0","0","0"
"1887","0","0","0"
"1889","0","0","0"
"1891","0","0","0"
"1902","0","0","0"
"1903","0","0","0"
"1905","0","0","0"
"1931","0","0","0"
"1939","0","0","0"
"1953","0","0","0"
"1969","0","0","0"
"1970","0","0","0"
"1982","0","0","0"
"1984","0","0","0"
"1985","0","0","0"
"1988","0","0","0"
"1990","0","0","0"
"1994","0","0","0"
"1998","0","0","0"
"2002","0","0","0"
"2010","1","1","1"
"2014","0","0","0"
"2015","0","0","0"
"2020","0","0","0"
"2035","0","0","0"
"2043","0","0","0"
"2044","0","0","0"
"2047","0","0","0"
"2050","0","0","0"
"2059","0","0","0"
"2060","0","0","0"
"2073","0","0","0"
"2074","0","0","0"
"2080","0","0","0"
"2085","0","0","0"
"2086","0","0","0"
"2092","0","0","0"
"2114","0","0","0"
"2116","0","0","0"
"2121","0","0","0"
"2136","0","0","0"
"2138","0","0","0"
"2148","0","0","0"
"2150","0","0","0"
"2156","0","0","0"
"2161","0","0","0"
"2163","0","0","0"
"2170","0","0","0"
"2191","0","0","0"
"2192","0","0","0"
"2194","0","0","0"
"2196","0","0","0"
"2202","0","0","0"
"2213","0","0","0"
"2217","0","0","0"
"2225","0","0","0"
"2226","0","0","0"
