"Step","DDQN_run_1747573335 - total_reward","DDQN_run_1747573335 - total_reward__MIN","DDQN_run_1747573335 - total_reward__MAX"
"1339","3","3","3"
"1349","1","1","1"
"1352","3","3","3"
"1370","0","0","0"
"1376","-3","-3","-3"
"1385","3","3","3"
"1391","-1","-1","-1"
"1399","1","1","1"
"1404","0","0","0"
"1408","-3","-3","-3"
"1413","-2","-2","-2"
"1417","-1","-1","-1"
"1420","-3","-3","-3"
"1421","-3","-3","-3"
"1430","2","2","2"
"1432","0","0","0"
"1444","-3","-3","-3"
"1448","7","7","7"
"1456","-2","-2","-2"
"1458","-2","-2","-2"
"1463","2","2","2"
"1472","-1","-1","-1"
"1474","-1","-1","-1"
"1485","2","2","2"
"1490","2","2","2"
"1492","-2","-2","-2"
"1493","-3","-3","-3"
"1496","-1","-1","-1"
"1501","3","3","3"
"1506","-3","-3","-3"
"1510","1","1","1"
"1511","8","8","8"
"1514","-3","-3","-3"
"1516","4","4","4"
"1518","2","2","2"
"1529","3","3","3"
"1534","-1","-1","-1"
"1543","-2","-2","-2"
"1557","-1","-1","-1"
"1569","3","3","3"
"1578","-1","-1","-1"
"1579","1","1","1"
"1589","0","0","0"
"1594","2","2","2"
"1596","2","2","2"
"1597","-1","-1","-1"
"1603","-2","-2","-2"
"1608","1","1","1"
"1617","-2","-2","-2"
"1618","-1","-1","-1"
"1623","-1","-1","-1"
"1625","-2","-2","-2"
"1633","0","0","0"
"1635","4","4","4"
"1636","0","0","0"
"1644","-3","-3","-3"
"1651","3","3","3"
"1654","-1","-1","-1"
"1655","-3","-3","-3"
"1657","-3","-3","-3"
"1670","-1","-1","-1"
"1673","0","0","0"
"1675","-1","-1","-1"
"1677","-2","-2","-2"
"1678","3","3","3"
"1685","0","0","0"
"1688","-3","-3","-3"
"1695","-3","-3","-3"
"1696","2","2","2"
"1706","0","0","0"
"1710","-3","-3","-3"
"1714","-2","-2","-2"
"1720","2","2","2"
"1723","-3","-3","-3"
"1725","-3","-3","-3"
"1728","-1","-1","-1"
"1733","-2","-2","-2"
"1737","3","3","3"
"1746","2","2","2"
"1748","-3","-3","-3"
"1750","3","3","3"
"1756","0","0","0"
"1761","-2","-2","-2"
"1765","2","2","2"
"1771","-3","-3","-3"
"1787","-1","-1","-1"
"1794","0","0","0"
"1802","-2","-2","-2"
"1807","-1","-1","-1"
"1813","6","6","6"
"1830","2","2","2"
"1832","-2","-2","-2"
"1835","7","7","7"
"1836","-2","-2","-2"
"1837","2","2","2"
"1839","-3","-3","-3"
"1841","-2","-2","-2"
"1853","1","1","1"
"1855","-2","-2","-2"
"1861","4","4","4"
"1865","-1","-1","-1"
"1871","-2","-2","-2"
"1872","-3","-3","-3"
"1876","-1","-1","-1"
"1880","-3","-3","-3"
"1881","4","4","4"
"1895","1","1","1"
"1901","-3","-3","-3"
"1912","5","5","5"
"1913","7","7","7"
"1916","-3","-3","-3"
"1919","-2","-2","-2"
"1921","-2","-2","-2"
"1932","1","1","1"
"1933","-1","-1","-1"
"1934","-2","-2","-2"
"1937","2","2","2"
"1945","-3","-3","-3"
"1947","-2","-2","-2"
"1950","-2","-2","-2"
"1951","-2","-2","-2"
"1954","-1","-1","-1"
"1955","-1","-1","-1"
"1956","3","3","3"
"1959","1","1","1"
"1960","3","3","3"
"1963","-1","-1","-1"
"1979","1","1","1"
"1980","0","0","0"
"1983","2","2","2"
"1988","-2","-2","-2"
"1992","-1","-1","-1"
"1995","-1","-1","-1"
"1997","-1","-1","-1"
"1998","-1","-1","-1"
"2001","-1","-1","-1"
"2013","1","1","1"
"2021","-1","-1","-1"
"2041","1","1","1"
"2054","-1","-1","-1"
"2057","-2","-2","-2"
"2074","0","0","0"
"2075","-3","-3","-3"
"2076","3","3","3"
"2077","2","2","2"
"2091","0","0","0"
"2095","-3","-3","-3"
"2096","-1","-1","-1"
"2098","-2","-2","-2"
"2106","-1","-1","-1"
"2108","-1","-1","-1"
"2113","-2","-2","-2"
"2115","-1","-1","-1"
"2119","-1","-1","-1"
"2134","-2","-2","-2"
"2136","-1","-1","-1"
"2142","-1","-1","-1"
"2145","0","0","0"
"2146","-1","-1","-1"
"2155","3","3","3"
"2156","1","1","1"
"2158","-2","-2","-2"
"2159","-1","-1","-1"
"2160","0","0","0"
"2172","-2","-2","-2"
"2175","-3","-3","-3"
"2193","2","2","2"
"2198","-1","-1","-1"
"2201","-2","-2","-2"
"2211","0","0","0"
"2214","0","0","0"
"2218","4","4","4"
"2222","0","0","0"
"2224","-2","-2","-2"
"2225","-3","-3","-3"
"2228","0","0","0"
"2230","0","0","0"
"2249","9","9","9"
"2254","-1","-1","-1"
"2258","-1","-1","-1"
"2263","0","0","0"
"2269","0","0","0"
"2270","0","0","0"
"2272","0","0","0"
"2279","-2","-2","-2"
"2282","2","2","2"
"2293","-2","-2","-2"
"2294","0","0","0"
"2295","-1","-1","-1"
"2297","-2","-2","-2"
"2301","0","0","0"
"2307","-3","-3","-3"
"2314","6","6","6"
"2316","-3","-3","-3"
"2331","2","2","2"
"2340","6","6","6"
"2351","-2","-2","-2"
"2352","-2","-2","-2"
"2353","8","8","8"
"2354","-2","-2","-2"
"2378","-3","-3","-3"
"2379","-1","-1","-1"
"2383","1","1","1"
"2386","1","1","1"
"2397","0","0","0"
"2403","1","1","1"
"2411","0","0","0"
"2414","-3","-3","-3"
"2415","1","1","1"
"2433","0","0","0"
"2437","0","0","0"
"2444","1","1","1"
"2445","1","1","1"
"2446","3","3","3"
"2447","-1","-1","-1"
"2453","-2","-2","-2"
"2455","4","4","4"
"2464","-1","-1","-1"
"2466","-2","-2","-2"
"2469","0","0","0"
"2470","-1","-1","-1"
"2480","-2","-2","-2"
"2486","2","2","2"
"2487","-2","-2","-2"
"2491","-2","-2","-2"
"2497","-1","-1","-1"
"2510","-1","-1","-1"
"2525","-1","-1","-1"
"2544","-2","-2","-2"
"2550","-1","-1","-1"
"2555","-3","-3","-3"
"2558","-2","-2","-2"
"2559","2","2","2"
"2561","-1","-1","-1"
"2569","-3","-3","-3"
"2576","-3","-3","-3"
"2577","0","0","0"
"2578","-2","-2","-2"
"2593","-3","-3","-3"
"2596","2","2","2"
"2605","2","2","2"
"2608","1","1","1"
"2623","0","0","0"
"2630","2","2","2"
"2634","-3","-3","-3"
"2638","-2","-2","-2"
"2643","0","0","0"
"2647","0","0","0"
"2648","-1","-1","-1"
"2649","-2","-2","-2"
"2655","3","3","3"
"2661","-2","-2","-2"
"2665","0","0","0"
"2668","4","4","4"
"2674","-3","-3","-3"
"2678","3","3","3"
"2679","-1","-1","-1"
"2682","-3","-3","-3"
"2683","-2","-2","-2"
"2693","-1","-1","-1"
"2696","1","1","1"
"2700","-1","-1","-1"
"2704","-2","-2","-2"
"2708","0","0","0"
"2713","-2","-2","-2"
"2716","4","4","4"
"2717","-3","-3","-3"
"2722","4","4","4"
"2734","3","3","3"
"2735","1","1","1"
"2737","-3","-3","-3"
"2741","-2","-2","-2"
"2758","6","6","6"
"2768","-1","-1","-1"
"2770","-2","-2","-2"
"2778","-3","-3","-3"
"2781","1","1","1"
"2804","-1","-1","-1"
"2808","1","1","1"
"2809","-3","-3","-3"
"2813","1","1","1"
"2814","-1","-1","-1"
"2816","1","1","1"
"2822","-2","-2","-2"
"2826","0","0","0"
"2834","-1","-1","-1"
"2855","2","2","2"
"2870","5","5","5"
"2872","-3","-3","-3"
"2883","0","0","0"
"2900","-1","-1","-1"
"2906","-2","-2","-2"
"2912","-2","-2","-2"
"2916","-1","-1","-1"
"2917","-1","-1","-1"
"2921","-3","-3","-3"
"2932","-1","-1","-1"
"2939","0","0","0"
"2945","4","4","4"
"2950","1","1","1"
"2956","2","2","2"
"2960","-3","-3","-3"
"2964","-1","-1","-1"
"2966","1","1","1"
"2967","-1","-1","-1"
"2971","0","0","0"
"2977","0","0","0"
"2986","-2","-2","-2"
"2996","-2","-2","-2"
"3002","-1","-1","-1"
"3009","2","2","2"
"3015","-1","-1","-1"
"3022","1","1","1"
"3025","2","2","2"
"3027","-2","-2","-2"
"3028","0","0","0"
"3030","0","0","0"
"3045","2","2","2"
"3046","-2","-2","-2"
"3050","-3","-3","-3"
"3054","0","0","0"
"3060","-2","-2","-2"
"3064","7","7","7"
"3066","-3","-3","-3"
"3078","0","0","0"
"3082","-1","-1","-1"
"3084","0","0","0"
"3087","-2","-2","-2"
"3099","-2","-2","-2"
"3104","-1","-1","-1"
"3106","-2","-2","-2"
"3112","-1","-1","-1"
"3113","-1","-1","-1"
"3115","-3","-3","-3"
"3119","-1","-1","-1"
"3133","-2","-2","-2"
"3137","-2","-2","-2"
"3144","0","0","0"
"3154","7","7","7"
"3160","5","5","5"
"3169","-2","-2","-2"
"3176","-1","-1","-1"
"3177","0","0","0"
"3179","1","1","1"
"3204","0","0","0"
"3210","3","3","3"
"3211","-2","-2","-2"
"3212","0","0","0"
"3223","-2","-2","-2"
